# seed=42 mode=bolter file=sample.pcap filesize=13524
trial	mode	filesize	off	bit	span	detected
0	bolter	13524	7382	-	1	false
1	bolter	13524	8585	-	1	true
2	bolter	13524	423	-	1	false
3	bolter	13524	13323	-	1	false
4	bolter	13524	12141	-	1	false
5	bolter	13524	6862	-	1	false
6	bolter	13524	2472	-	1	false
7	bolter	13524	5195	-	1	false
8	bolter	13524	620	-	1	false
9	bolter	13524	10401	-	1	false
10	bolter	13524	1189	-	1	false
11	bolter	13524	4225	-	1	false
12	bolter	13524	12348	-	1	false
13	bolter	13524	2902	-	1	false
14	bolter	13524	6665	-	1	false
15	bolter	13524	11439	-	1	false
16	bolter	13524	4042	-	1	false
17	bolter	13524	1192	-	1	false
18	bolter	13524	2603	-	1	false
19	bolter	13524	8992	-	1	false
20	bolter	13524	4296	-	1	false
21	bolter	13524	5919	-	1	false
22	bolter	13524	9180	-	1	false
23	bolter	13524	7051	-	1	false
24	bolter	13524	11603	-	1	false
25	bolter	13524	5625	-	1	false
26	bolter	13524	5802	-	1	false
27	bolter	13524	9179	-	1	false
28	bolter	13524	10288	-	1	false
29	bolter	13524	11180	-	1	false
30	bolter	13524	7008	-	1	false
31	bolter	13524	8459	-	1	false
32	bolter	13524	3250	-	1	false
33	bolter	13524	11038	-	1	false
34	bolter	13524	793	-	1	false
35	bolter	13524	508	-	1	false
36	bolter	13524	1278	-	1	false
37	bolter	13524	8675	-	1	true
38	bolter	13524	590	-	1	false
39	bolter	13524	11794	-	1	false
40	bolter	13524	11414	-	1	false
41	bolter	13524	255	-	1	false
42	bolter	13524	1599	-	1	false
43	bolter	13524	11180	-	1	false
44	bolter	13524	11506	-	1	false
45	bolter	13524	614	-	1	false
46	bolter	13524	11426	-	1	false
47	bolter	13524	884	-	1	false
48	bolter	13524	7149	-	1	false
49	bolter	13524	2685	-	1	false
50	bolter	13524	11262	-	1	false
51	bolter	13524	10052	-	1	false
52	bolter	13524	11582	-	1	false
53	bolter	13524	1021	-	1	false
54	bolter	13524	1762	-	1	false
55	bolter	13524	9280	-	1	false
56	bolter	13524	2247	-	1	false
57	bolter	13524	244	-	1	false
58	bolter	13524	11191	-	1	false
59	bolter	13524	7687	-	1	false
60	bolter	13524	6084	-	1	false
61	bolter	13524	93	-	1	false
62	bolter	13524	9857	-	1	false
63	bolter	13524	11727	-	1	false
64	bolter	13524	508	-	1	false
65	bolter	13524	3564	-	1	false
66	bolter	13524	9439	-	1	false
67	bolter	13524	6036	-	1	false
68	bolter	13524	13474	-	1	false
69	bolter	13524	1700	-	1	false
70	bolter	13524	3803	-	1	false
71	bolter	13524	1839	-	1	false
72	bolter	13524	5484	-	1	false
73	bolter	13524	8378	-	1	false
74	bolter	13524	4244	-	1	false
75	bolter	13524	2033	-	1	false
76	bolter	13524	2387	-	1	false
77	bolter	13524	7666	-	1	false
78	bolter	13524	7980	-	1	false
79	bolter	13524	1172	-	1	false
80	bolter	13524	1191	-	1	false
81	bolter	13524	5427	-	1	false
82	bolter	13524	1430	-	1	false
83	bolter	13524	11335	-	1	false
84	bolter	13524	1357	-	1	false
85	bolter	13524	6370	-	1	false
86	bolter	13524	13113	-	1	false
87	bolter	13524	9360	-	1	false
88	bolter	13524	8810	-	1	false
89	bolter	13524	2564	-	1	false
90	bolter	13524	7922	-	1	false
91	bolter	13524	4902	-	1	false
92	bolter	13524	12525	-	1	false
93	bolter	13524	13139	-	1	false
94	bolter	13524	3417	-	1	false
95	bolter	13524	4589	-	1	false
96	bolter	13524	35	-	1	true
97	bolter	13524	6006	-	1	false
98	bolter	13524	7517	-	1	false
99	bolter	13524	4782	-	1	false
