# seed=42 mode=bolter file=IMGP1754.PEF filesize=11119678
trial	mode	filesize	off	bit	span	detected
0	bolter	11119678	1682594	-	1	false
1	bolter	11119678	5403051	-	1	false
2	bolter	11119678	937141	-	1	false
3	bolter	11119678	8827599	-	1	false
4	bolter	11119678	7630097	-	1	false
5	bolter	11119678	419822	-	1	false
6	bolter	11119678	5087954	-	1	false
7	bolter	11119678	8724955	-	1	false
8	bolter	11119678	5148474	-	1	false
9	bolter	11119678	9493941	-	1	false
10	bolter	11119678	10055611	-	1	false
11	bolter	11119678	7526135	-	1	false
12	bolter	11119678	6504366	-	1	false
13	bolter	11119678	4820164	-	1	false
14	bolter	11119678	5101763	-	1	false
15	bolter	11119678	6640919	-	1	false
16	bolter	11119678	6264120	-	1	false
17	bolter	11119678	2389576	-	1	false
18	bolter	11119678	4509811	-	1	false
19	bolter	11119678	8712010	-	1	false
20	bolter	11119678	7403226	-	1	false
21	bolter	11119678	5262309	-	1	false
22	bolter	11119678	6131796	-	1	false
23	bolter	11119678	7023553	-	1	false
24	bolter	11119678	10750769	-	1	false
25	bolter	11119678	2847311	-	1	false
26	bolter	11119678	743032	-	1	false
27	bolter	11119678	8592397	-	1	false
28	bolter	11119678	9008804	-	1	false
29	bolter	11119678	5368446	-	1	false
30	bolter	11119678	6979720	-	1	false
31	bolter	11119678	1301437	-	1	false
32	bolter	11119678	10722034	-	1	false
33	bolter	11119678	156238	-	1	false
34	bolter	11119678	9557087	-	1	false
35	bolter	11119678	3055896	-	1	false
36	bolter	11119678	4272294	-	1	false
37	bolter	11119678	382863	-	1	false
38	bolter	11119678	6736040	-	1	false
39	bolter	11119678	1442196	-	1	false
40	bolter	11119678	10294058	-	1	false
41	bolter	11119678	3117057	-	1	false
42	bolter	11119678	11116373	-	1	false
43	bolter	11119678	4221932	-	1	false
44	bolter	11119678	10595396	-	1	false
45	bolter	11119678	4269178	-	1	false
46	bolter	11119678	8701878	-	1	false
47	bolter	11119678	4216310	-	1	false
48	bolter	11119678	1837025	-	1	false
49	bolter	11119678	11084663	-	1	false
50	bolter	11119678	764314	-	1	false
51	bolter	11119678	931636	-	1	false
52	bolter	11119678	9815140	-	1	false
53	bolter	11119678	2828915	-	1	false
54	bolter	11119678	7156724	-	1	false
55	bolter	11119678	8623646	-	1	false
56	bolter	11119678	8781199	-	1	false
57	bolter	11119678	572388	-	1	false
58	bolter	11119678	3008345	-	1	false
59	bolter	11119678	5458165	-	1	false
60	bolter	11119678	2917766	-	1	false
61	bolter	11119678	8181155	-	1	false
62	bolter	11119678	9697025	-	1	false
63	bolter	11119678	3370429	-	1	false
64	bolter	11119678	7032450	-	1	false
65	bolter	11119678	1951326	-	1	false
66	bolter	11119678	2039991	-	1	false
67	bolter	11119678	8392678	-	1	false
68	bolter	11119678	1731864	-	1	false
69	bolter	11119678	5667680	-	1	false
70	bolter	11119678	11089881	-	1	false
71	bolter	11119678	10672619	-	1	false
72	bolter	11119678	3867600	-	1	false
73	bolter	11119678	9953076	-	1	false
74	bolter	11119678	2982740	-	1	false
75	bolter	11119678	3519727	-	1	false
76	bolter	11119678	9720511	-	1	false
77	bolter	11119678	4574294	-	1	false
78	bolter	11119678	7157500	-	1	false
79	bolter	11119678	4880386	-	1	false
80	bolter	11119678	2405895	-	1	false
81	bolter	11119678	8954865	-	1	false
82	bolter	11119678	10411576	-	1	false
83	bolter	11119678	562791	-	1	false
84	bolter	11119678	2456325	-	1	false
85	bolter	11119678	3236306	-	1	false
86	bolter	11119678	4000891	-	1	false
87	bolter	11119678	4553690	-	1	false
88	bolter	11119678	3230586	-	1	false
89	bolter	11119678	1052952	-	1	false
90	bolter	11119678	5265040	-	1	false
91	bolter	11119678	1182294	-	1	false
92	bolter	11119678	2976273	-	1	false
93	bolter	11119678	4962615	-	1	false
94	bolter	11119678	3306873	-	1	false
95	bolter	11119678	6311715	-	1	false
96	bolter	11119678	8436979	-	1	false
97	bolter	11119678	9164244	-	1	false
98	bolter	11119678	3338595	-	1	false
99	bolter	11119678	3466388	-	1	false
