# seed=42 mode=bolter file=prores_4444_xq.mov filesize=6633967
trial	mode	filesize	off	bit	span	detected
0	bolter	6633967	322195	-	1	false
1	bolter	6633967	4500119	-	1	false
2	bolter	6633967	791005	-	1	false
3	bolter	6633967	1992431	-	1	false
4	bolter	6633967	2217450	-	1	false
5	bolter	6633967	5961658	-	1	false
6	bolter	6633967	2336095	-	1	false
7	bolter	6633967	285124	-	1	false
8	bolter	6633967	5759134	-	1	false
9	bolter	6633967	541578	-	1	false
10	bolter	6633967	736852	-	1	false
11	bolter	6633967	6244805	-	1	false
12	bolter	6633967	437996	-	1	false
13	bolter	6633967	1934171	-	1	false
14	bolter	6633967	323780	-	1	false
15	bolter	6633967	5817056	-	1	true
16	bolter	6633967	1241873	-	1	false
17	bolter	6633967	6551954	-	1	false
18	bolter	6633967	4821142	-	1	false
19	bolter	6633967	528445	-	1	false
20	bolter	6633967	757257	-	1	false
21	bolter	6633967	5983099	-	1	false
22	bolter	6633967	2501009	-	1	true
23	bolter	6633967	3380764	-	1	false
24	bolter	6633967	2390007	-	1	false
25	bolter	6633967	2945439	-	1	false
26	bolter	6633967	798097	-	1	false
27	bolter	6633967	164568	-	1	false
28	bolter	6633967	3931492	-	1	false
29	bolter	6633967	4666715	-	1	false
30	bolter	6633967	3593197	-	1	true
31	bolter	6633967	87174	-	1	false
32	bolter	6633967	4820859	-	1	false
33	bolter	6633967	4874211	-	1	false
34	bolter	6633967	104194	-	1	true
35	bolter	6633967	5235213	-	1	false
36	bolter	6633967	3491494	-	1	false
37	bolter	6633967	6480294	-	1	false
38	bolter	6633967	669670	-	1	true
39	bolter	6633967	4213114	-	1	false
40	bolter	6633967	4191682	-	1	false
41	bolter	6633967	2147058	-	1	false
42	bolter	6633967	3469344	-	1	false
43	bolter	6633967	1549142	-	1	false
44	bolter	6633967	232514	-	1	false
45	bolter	6633967	1907719	-	1	false
46	bolter	6633967	396181	-	1	false
47	bolter	6633967	1732719	-	1	false
48	bolter	6633967	4773138	-	1	false
49	bolter	6633967	4170426	-	1	false
50	bolter	6633967	1942571	-	1	true
51	bolter	6633967	6516535	-	1	false
52	bolter	6633967	6507686	-	1	false
53	bolter	6633967	5331565	-	1	false
54	bolter	6633967	5319799	-	1	false
55	bolter	6633967	3936734	-	1	false
56	bolter	6633967	5217479	-	1	false
57	bolter	6633967	3508501	-	1	false
58	bolter	6633967	189419	-	1	false
59	bolter	6633967	4310969	-	1	false
60	bolter	6633967	2081901	-	1	false
61	bolter	6633967	1669320	-	1	false
62	bolter	6633967	969867	-	1	false
63	bolter	6633967	6074280	-	1	false
64	bolter	6633967	3145397	-	1	false
65	bolter	6633967	804130	-	1	false
66	bolter	6633967	990923	-	1	false
67	bolter	6633967	1056980	-	1	false
68	bolter	6633967	2409591	-	1	false
69	bolter	6633967	523301	-	1	false
70	bolter	6633967	1282594	-	1	false
71	bolter	6633967	4148782	-	1	true
72	bolter	6633967	4600392	-	1	false
73	bolter	6633967	4308167	-	1	false
74	bolter	6633967	664344	-	1	false
75	bolter	6633967	1903062	-	1	false
76	bolter	6633967	3019477	-	1	false
77	bolter	6633967	4037758	-	1	false
78	bolter	6633967	4906171	-	1	false
79	bolter	6633967	2732130	-	1	false
80	bolter	6633967	1625095	-	1	false
81	bolter	6633967	4176882	-	1	false
82	bolter	6633967	4833734	-	1	false
83	bolter	6633967	471720	-	1	false
84	bolter	6633967	2164053	-	1	false
85	bolter	6633967	50984	-	1	false
86	bolter	6633967	1383166	-	1	false
87	bolter	6633967	87038	-	1	false
88	bolter	6633967	2516853	-	1	false
89	bolter	6633967	516416	-	1	false
90	bolter	6633967	2891579	-	1	false
91	bolter	6633967	602695	-	1	false
92	bolter	6633967	5246661	-	1	false
93	bolter	6633967	4047681	-	1	false
94	bolter	6633967	4418063	-	1	false
95	bolter	6633967	4096392	-	1	false
96	bolter	6633967	2847135	-	1	false
97	bolter	6633967	5368262	-	1	false
98	bolter	6633967	898067	-	1	false
99	bolter	6633967	6213302	-	1	false
