# seed=42 mode=shotgun file=prores_4444_xq.mov filesize=6633967
trial	mode	filesize	off	bit	span	detected
0	shotgun	6633967	2341030	-	4096	true
1	shotgun	6633967	3718231	-	4096	true
2	shotgun	6633967	3325931	-	4096	true
3	shotgun	6633967	2889176	-	4096	false
4	shotgun	6633967	2900409	-	4096	true
5	shotgun	6633967	818562	-	4096	true
6	shotgun	6633967	6120297	-	4096	true
7	shotgun	6633967	5247802	-	4096	true
8	shotgun	6633967	5093975	-	4096	true
9	shotgun	6633967	2358998	-	4096	false
10	shotgun	6633967	967857	-	4096	true
11	shotgun	6633967	5273777	-	4096	true
12	shotgun	6633967	63421	-	4096	true
13	shotgun	6633967	1943350	-	4096	false
14	shotgun	6633967	105524	-	4096	false
15	shotgun	6633967	446419	-	4096	true
16	shotgun	6633967	557009	-	4096	true
17	shotgun	6633967	6496354	-	4096	true
18	shotgun	6633967	3628469	-	4096	true
19	shotgun	6633967	5080255	-	4096	true
20	shotgun	6633967	1295679	-	4096	true
21	shotgun	6633967	3422504	-	4096	true
22	shotgun	6633967	287303	-	4096	false
23	shotgun	6633967	4793587	-	4096	true
24	shotgun	6633967	321035	-	4096	true
25	shotgun	6633967	3157707	-	4096	true
26	shotgun	6633967	3802423	-	4096	true
27	shotgun	6633967	2297741	-	4096	true
28	shotgun	6633967	2246013	-	4096	true
29	shotgun	6633967	4170855	-	4096	true
30	shotgun	6633967	3251747	-	4096	true
31	shotgun	6633967	859289	-	4096	false
32	shotgun	6633967	409795	-	4096	true
33	shotgun	6633967	4766855	-	4096	false
34	shotgun	6633967	6447159	-	4096	true
35	shotgun	6633967	3050544	-	4096	true
36	shotgun	6633967	3495758	-	4096	true
37	shotgun	6633967	6291645	-	4096	true
38	shotgun	6633967	6129111	-	4096	true
39	shotgun	6633967	1359590	-	4096	false
40	shotgun	6633967	4661516	-	4096	false
41	shotgun	6633967	6367073	-	4096	true
42	shotgun	6633967	888939	-	4096	true
43	shotgun	6633967	3436768	-	4096	false
44	shotgun	6633967	3945580	-	4096	true
45	shotgun	6633967	22243	-	4096	true
46	shotgun	6633967	4105941	-	4096	true
47	shotgun	6633967	1002162	-	4096	false
48	shotgun	6633967	4543941	-	4096	true
49	shotgun	6633967	2781610	-	4096	true
50	shotgun	6633967	3947703	-	4096	true
51	shotgun	6633967	1029491	-	4096	true
52	shotgun	6633967	2317623	-	4096	true
53	shotgun	6633967	1766421	-	4096	true
54	shotgun	6633967	918290	-	4096	false
55	shotgun	6633967	4993445	-	4096	false
56	shotgun	6633967	4731445	-	4096	true
57	shotgun	6633967	2773693	-	4096	false
58	shotgun	6633967	2211769	-	4096	true
59	shotgun	6633967	2036731	-	4096	true
60	shotgun	6633967	6552528	-	4096	false
61	shotgun	6633967	4712658	-	4096	true
62	shotgun	6633967	6422351	-	4096	false
63	shotgun	6633967	5683645	-	4096	true
64	shotgun	6633967	4860216	-	4096	true
65	shotgun	6633967	805900	-	4096	true
66	shotgun	6633967	6002547	-	4096	true
67	shotgun	6633967	3706739	-	4096	true
68	shotgun	6633967	5320026	-	4096	true
69	shotgun	6633967	2499941	-	4096	true
70	shotgun	6633967	4683746	-	4096	true
71	shotgun	6633967	236327	-	4096	true
72	shotgun	6633967	4631082	-	4096	true
73	shotgun	6633967	5924900	-	4096	true
74	shotgun	6633967	2483077	-	4096	false
75	shotgun	6633967	3834438	-	4096	true
76	shotgun	6633967	223563	-	4096	true
77	shotgun	6633967	3728214	-	4096	true
78	shotgun	6633967	1841322	-	4096	true
79	shotgun	6633967	6018370	-	4096	true
80	shotgun	6633967	4822462	-	4096	true
81	shotgun	6633967	2411711	-	4096	false
82	shotgun	6633967	2306526	-	4096	true
83	shotgun	6633967	842901	-	4096	true
84	shotgun	6633967	5380706	-	4096	true
85	shotgun	6633967	4965827	-	4096	true
86	shotgun	6633967	2059402	-	4096	true
87	shotgun	6633967	4391240	-	4096	true
88	shotgun	6633967	3837143	-	4096	true
89	shotgun	6633967	2850002	-	4096	true
90	shotgun	6633967	2824491	-	4096	true
91	shotgun	6633967	469270	-	4096	false
92	shotgun	6633967	4707263	-	4096	false
93	shotgun	6633967	4175089	-	4096	false
94	shotgun	6633967	5034044	-	4096	true
95	shotgun	6633967	1031623	-	4096	true
96	shotgun	6633967	2653994	-	4096	true
97	shotgun	6633967	1923399	-	4096	true
98	shotgun	6633967	4312674	-	4096	true
99	shotgun	6633967	4375830	-	4096	false
