# seed=42 mode=shotgun file=rle_plasma.psd filesize=1847998
trial	mode	filesize	off	bit	span	detected
0	shotgun	1847998	1627907	-	4096	true
1	shotgun	1847998	326331	-	4096	false
2	shotgun	1847998	1454455	-	4096	true
3	shotgun	1847998	1175301	-	4096	true
4	shotgun	1847998	540507	-	4096	false
5	shotgun	1847998	448214	-	4096	false
6	shotgun	1847998	465906	-	4096	false
7	shotgun	1847998	1000801	-	4096	true
8	shotgun	1847998	525797	-	4096	false
9	shotgun	1847998	1525495	-	4096	true
10	shotgun	1847998	50264	-	4096	false
11	shotgun	1847998	123435	-	4096	false
12	shotgun	1847998	734719	-	4096	false
13	shotgun	1847998	864483	-	4096	false
14	shotgun	1847998	1773901	-	4096	true
15	shotgun	1847998	742325	-	4096	false
16	shotgun	1847998	1573384	-	4096	true
17	shotgun	1847998	212930	-	4096	false
18	shotgun	1847998	1410545	-	4096	true
19	shotgun	1847998	1271138	-	4096	true
20	shotgun	1847998	384061	-	4096	false
21	shotgun	1847998	1383779	-	4096	true
22	shotgun	1847998	404010	-	4096	false
23	shotgun	1847998	945878	-	4096	true
24	shotgun	1847998	422119	-	4096	false
25	shotgun	1847998	275831	-	4096	false
26	shotgun	1847998	696781	-	4096	false
27	shotgun	1847998	741467	-	4096	false
28	shotgun	1847998	337316	-	4096	false
29	shotgun	1847998	1286677	-	4096	true
30	shotgun	1847998	870247	-	4096	false
31	shotgun	1847998	1344042	-	4096	true
32	shotgun	1847998	464010	-	4096	false
33	shotgun	1847998	1265594	-	4096	true
34	shotgun	1847998	1561477	-	4096	true
35	shotgun	1847998	1346317	-	4096	true
36	shotgun	1847998	352895	-	4096	false
37	shotgun	1847998	889964	-	4096	false
38	shotgun	1847998	1138672	-	4096	true
39	shotgun	1847998	919404	-	4096	false
40	shotgun	1847998	1594466	-	4096	true
41	shotgun	1847998	367605	-	4096	false
42	shotgun	1847998	1842822	-	4096	true
43	shotgun	1847998	206142	-	4096	false
44	shotgun	1847998	925399	-	4096	true
45	shotgun	1847998	86106	-	4096	false
46	shotgun	1847998	10566	-	4096	false
47	shotgun	1847998	1644516	-	4096	true
48	shotgun	1847998	1677688	-	4096	true
49	shotgun	1847998	693714	-	4096	false
50	shotgun	1847998	670208	-	4096	false
51	shotgun	1847998	1467375	-	4096	true
52	shotgun	1847998	1672967	-	4096	true
53	shotgun	1847998	942566	-	4096	true
54	shotgun	1847998	762060	-	4096	false
55	shotgun	1847998	1636464	-	4096	true
56	shotgun	1847998	314893	-	4096	false
57	shotgun	1847998	1159531	-	4096	true
58	shotgun	1847998	790127	-	4096	false
59	shotgun	1847998	1121440	-	4096	true
60	shotgun	1847998	1717388	-	4096	true
61	shotgun	1847998	1148905	-	4096	true
62	shotgun	1847998	63114	-	4096	false
63	shotgun	1847998	357777	-	4096	false
64	shotgun	1847998	1670484	-	4096	true
65	shotgun	1847998	476446	-	4096	false
66	shotgun	1847998	1270793	-	4096	true
67	shotgun	1847998	1013710	-	4096	true
68	shotgun	1847998	1560080	-	4096	true
69	shotgun	1847998	427668	-	4096	false
70	shotgun	1847998	1830814	-	4096	true
71	shotgun	1847998	778968	-	4096	false
72	shotgun	1847998	738806	-	4096	false
73	shotgun	1847998	1171548	-	4096	true
74	shotgun	1847998	520165	-	4096	false
75	shotgun	1847998	50592	-	4096	false
76	shotgun	1847998	1175144	-	4096	true
77	shotgun	1847998	871609	-	4096	false
78	shotgun	1847998	1143822	-	4096	true
79	shotgun	1847998	1438242	-	4096	true
80	shotgun	1847998	1389668	-	4096	true
81	shotgun	1847998	1733507	-	4096	true
82	shotgun	1847998	501215	-	4096	false
83	shotgun	1847998	1340975	-	4096	true
84	shotgun	1847998	1492103	-	4096	true
85	shotgun	1847998	683907	-	4096	false
86	shotgun	1847998	1660110	-	4096	true
87	shotgun	1847998	697459	-	4096	false
88	shotgun	1847998	1587973	-	4096	true
89	shotgun	1847998	1110856	-	4096	true
90	shotgun	1847998	1229625	-	4096	true
91	shotgun	1847998	133841	-	4096	false
92	shotgun	1847998	910096	-	4096	false
93	shotgun	1847998	1409920	-	4096	true
94	shotgun	1847998	777395	-	4096	false
95	shotgun	1847998	908941	-	4096	false
96	shotgun	1847998	1179508	-	4096	true
97	shotgun	1847998	1833334	-	4096	true
98	shotgun	1847998	289439	-	4096	false
99	shotgun	1847998	893865	-	4096	false
