# seed=42 mode=shotgun file=sample.qbb filesize=19456
trial	mode	filesize	off	bit	span	detected
0	shotgun	19456	4113	-	4096	false
1	shotgun	19456	10491	-	4096	false
2	shotgun	19456	3921	-	4096	false
3	shotgun	19456	13961	-	4096	true
4	shotgun	19456	10628	-	4096	false
5	shotgun	19456	9070	-	4096	false
6	shotgun	19456	7585	-	4096	false
7	shotgun	19456	9853	-	4096	false
8	shotgun	19456	9598	-	4096	false
9	shotgun	19456	5943	-	4096	false
10	shotgun	19456	15040	-	4096	true
11	shotgun	19456	13061	-	4096	true
12	shotgun	19456	6959	-	4096	false
13	shotgun	19456	6974	-	4096	false
14	shotgun	19456	4513	-	4096	false
15	shotgun	19456	10572	-	4096	false
16	shotgun	19456	13938	-	4096	true
17	shotgun	19456	10546	-	4096	false
18	shotgun	19456	8785	-	4096	false
19	shotgun	19456	12963	-	4096	true
20	shotgun	19456	2306	-	4096	false
21	shotgun	19456	10487	-	4096	false
22	shotgun	19456	12453	-	4096	false
23	shotgun	19456	1372	-	4096	false
24	shotgun	19456	6201	-	4096	false
25	shotgun	19456	7490	-	4096	false
26	shotgun	19456	263	-	4096	true
27	shotgun	19456	7570	-	4096	false
28	shotgun	19456	14085	-	4096	true
29	shotgun	19456	8555	-	4096	false
30	shotgun	19456	2015	-	4096	false
31	shotgun	19456	13184	-	4096	true
32	shotgun	19456	5731	-	4096	false
33	shotgun	19456	11177	-	4096	false
34	shotgun	19456	10105	-	4096	false
35	shotgun	19456	2873	-	4096	false
36	shotgun	19456	269	-	4096	true
37	shotgun	19456	6288	-	4096	false
38	shotgun	19456	7762	-	4096	false
39	shotgun	19456	7879	-	4096	false
40	shotgun	19456	561	-	4096	false
41	shotgun	19456	3642	-	4096	false
42	shotgun	19456	1600	-	4096	false
43	shotgun	19456	5981	-	4096	false
44	shotgun	19456	3656	-	4096	false
45	shotgun	19456	14080	-	4096	true
46	shotgun	19456	8646	-	4096	false
47	shotgun	19456	3773	-	4096	false
48	shotgun	19456	5135	-	4096	false
49	shotgun	19456	4073	-	4096	false
50	shotgun	19456	12939	-	4096	true
51	shotgun	19456	1990	-	4096	false
52	shotgun	19456	15140	-	4096	true
53	shotgun	19456	8960	-	4096	false
54	shotgun	19456	11537	-	4096	false
55	shotgun	19456	13034	-	4096	true
56	shotgun	19456	4311	-	4096	false
57	shotgun	19456	12880	-	4096	true
58	shotgun	19456	7570	-	4096	false
59	shotgun	19456	6901	-	4096	false
60	shotgun	19456	4140	-	4096	false
61	shotgun	19456	12098	-	4096	false
62	shotgun	19456	11378	-	4096	false
63	shotgun	19456	14698	-	4096	true
64	shotgun	19456	534	-	4096	false
65	shotgun	19456	11447	-	4096	false
66	shotgun	19456	13159	-	4096	true
67	shotgun	19456	8015	-	4096	false
68	shotgun	19456	2279	-	4096	false
69	shotgun	19456	8164	-	4096	false
70	shotgun	19456	2335	-	4096	false
71	shotgun	19456	14474	-	4096	true
72	shotgun	19456	9031	-	4096	false
73	shotgun	19456	5669	-	4096	false
74	shotgun	19456	10051	-	4096	false
75	shotgun	19456	1803	-	4096	false
76	shotgun	19456	13851	-	4096	true
77	shotgun	19456	56	-	4096	true
78	shotgun	19456	5219	-	4096	false
79	shotgun	19456	2200	-	4096	false
80	shotgun	19456	9052	-	4096	false
81	shotgun	19456	281	-	4096	true
82	shotgun	19456	3797	-	4096	false
83	shotgun	19456	7801	-	4096	false
84	shotgun	19456	5095	-	4096	false
85	shotgun	19456	2084	-	4096	false
86	shotgun	19456	763	-	4096	false
87	shotgun	19456	608	-	4096	false
88	shotgun	19456	14603	-	4096	true
89	shotgun	19456	15093	-	4096	true
90	shotgun	19456	10625	-	4096	false
91	shotgun	19456	12	-	4096	true
92	shotgun	19456	3407	-	4096	false
93	shotgun	19456	12694	-	4096	false
94	shotgun	19456	14634	-	4096	true
95	shotgun	19456	3402	-	4096	false
96	shotgun	19456	9876	-	4096	false
97	shotgun	19456	8275	-	4096	false
98	shotgun	19456	3166	-	4096	false
99	shotgun	19456	12568	-	4096	false
