# seed=42 mode=shotgun file=sample.qoi filesize=23120
trial	mode	filesize	off	bit	span	detected
0	shotgun	23120	13826	-	4096	false
1	shotgun	23120	8994	-	4096	false
2	shotgun	23120	11599	-	4096	false
3	shotgun	23120	10971	-	4096	false
4	shotgun	23120	2480	-	4096	false
5	shotgun	23120	14444	-	4096	false
6	shotgun	23120	17677	-	4096	false
7	shotgun	23120	18350	-	4096	false
8	shotgun	23120	11361	-	4096	false
9	shotgun	23120	16432	-	4096	false
10	shotgun	23120	11453	-	4096	false
11	shotgun	23120	16895	-	4096	false
12	shotgun	23120	11769	-	4096	false
13	shotgun	23120	9119	-	4096	false
14	shotgun	23120	6098	-	4096	false
15	shotgun	23120	9482	-	4096	false
16	shotgun	23120	11051	-	4096	false
17	shotgun	23120	9743	-	4096	false
18	shotgun	23120	18676	-	4096	false
19	shotgun	23120	14727	-	4096	false
20	shotgun	23120	5083	-	4096	false
21	shotgun	23120	16262	-	4096	false
22	shotgun	23120	8290	-	4096	false
23	shotgun	23120	1477	-	4096	false
24	shotgun	23120	16506	-	4096	false
25	shotgun	23120	17091	-	4096	false
26	shotgun	23120	466	-	4096	false
27	shotgun	23120	7863	-	4096	false
28	shotgun	23120	13891	-	4096	false
29	shotgun	23120	3631	-	4096	false
30	shotgun	23120	15644	-	4096	false
31	shotgun	23120	15336	-	4096	false
32	shotgun	23120	9693	-	4096	false
33	shotgun	23120	3856	-	4096	false
34	shotgun	23120	17408	-	4096	false
35	shotgun	23120	18372	-	4096	false
36	shotgun	23120	15011	-	4096	false
37	shotgun	23120	7965	-	4096	false
38	shotgun	23120	13914	-	4096	false
39	shotgun	23120	16858	-	4096	false
40	shotgun	23120	15391	-	4096	false
41	shotgun	23120	16784	-	4096	false
42	shotgun	23120	12617	-	4096	false
43	shotgun	23120	1433	-	4096	false
44	shotgun	23120	3828	-	4096	false
45	shotgun	23120	874	-	4096	false
46	shotgun	23120	8283	-	4096	false
47	shotgun	23120	4561	-	4096	false
48	shotgun	23120	1966	-	4096	false
49	shotgun	23120	3487	-	4096	false
50	shotgun	23120	17270	-	4096	false
51	shotgun	23120	13865	-	4096	false
52	shotgun	23120	5616	-	4096	false
53	shotgun	23120	11863	-	4096	false
54	shotgun	23120	16280	-	4096	false
55	shotgun	23120	12490	-	4096	false
56	shotgun	23120	600	-	4096	false
57	shotgun	23120	18792	-	4096	false
58	shotgun	23120	10102	-	4096	false
59	shotgun	23120	14185	-	4096	false
60	shotgun	23120	18075	-	4096	false
61	shotgun	23120	18820	-	4096	false
62	shotgun	23120	16693	-	4096	false
63	shotgun	23120	3912	-	4096	false
64	shotgun	23120	9221	-	4096	false
65	shotgun	23120	12997	-	4096	false
66	shotgun	23120	18948	-	4096	false
67	shotgun	23120	6907	-	4096	false
68	shotgun	23120	6879	-	4096	false
69	shotgun	23120	13684	-	4096	false
70	shotgun	23120	15829	-	4096	false
71	shotgun	23120	9597	-	4096	false
72	shotgun	23120	9007	-	4096	false
73	shotgun	23120	2652	-	4096	false
74	shotgun	23120	4207	-	4096	false
75	shotgun	23120	10259	-	4096	false
76	shotgun	23120	13858	-	4096	false
77	shotgun	23120	2547	-	4096	false
78	shotgun	23120	15259	-	4096	false
79	shotgun	23120	6040	-	4096	false
80	shotgun	23120	17585	-	4096	false
81	shotgun	23120	11364	-	4096	false
82	shotgun	23120	16458	-	4096	false
83	shotgun	23120	6181	-	4096	false
84	shotgun	23120	6631	-	4096	false
85	shotgun	23120	18793	-	4096	false
86	shotgun	23120	4935	-	4096	false
87	shotgun	23120	7232	-	4096	false
88	shotgun	23120	5093	-	4096	false
89	shotgun	23120	5123	-	4096	false
90	shotgun	23120	8981	-	4096	false
91	shotgun	23120	10559	-	4096	false
92	shotgun	23120	701	-	4096	false
93	shotgun	23120	13485	-	4096	false
94	shotgun	23120	15634	-	4096	false
95	shotgun	23120	8678	-	4096	false
96	shotgun	23120	6046	-	4096	false
97	shotgun	23120	9978	-	4096	false
98	shotgun	23120	10913	-	4096	false
99	shotgun	23120	8822	-	4096	false
