# seed=42 mode=bolter file=sample.rpm filesize=22829
trial	mode	filesize	off	bit	span	detected
0	bolter	22829	20122	-	1	false
1	bolter	22829	10556	-	1	false
2	bolter	22829	19761	-	1	false
3	bolter	22829	9554	-	1	false
4	bolter	22829	20862	-	1	false
5	bolter	22829	21013	-	1	false
6	bolter	22829	3718	-	1	false
7	bolter	22829	17404	-	1	false
8	bolter	22829	8360	-	1	false
9	bolter	22829	17269	-	1	false
10	bolter	22829	19499	-	1	false
11	bolter	22829	21642	-	1	false
12	bolter	22829	15696	-	1	false
13	bolter	22829	5842	-	1	true
14	bolter	22829	501	-	1	false
15	bolter	22829	17861	-	1	false
16	bolter	22829	13712	-	1	false
17	bolter	22829	7416	-	1	false
18	bolter	22829	22211	-	1	false
19	bolter	22829	12341	-	1	false
20	bolter	22829	6444	-	1	false
21	bolter	22829	11712	-	1	false
22	bolter	22829	15776	-	1	false
23	bolter	22829	17016	-	1	false
24	bolter	22829	13640	-	1	false
25	bolter	22829	19991	-	1	false
26	bolter	22829	14335	-	1	false
27	bolter	22829	22006	-	1	false
28	bolter	22829	17085	-	1	false
29	bolter	22829	4831	-	1	true
30	bolter	22829	3894	-	1	false
31	bolter	22829	8449	-	1	false
32	bolter	22829	15492	-	1	false
33	bolter	22829	5900	-	1	true
34	bolter	22829	19179	-	1	false
35	bolter	22829	19143	-	1	false
36	bolter	22829	2268	-	1	false
37	bolter	22829	1463	-	1	false
38	bolter	22829	19080	-	1	false
39	bolter	22829	21440	-	1	false
40	bolter	22829	15216	-	1	false
41	bolter	22829	5445	-	1	true
42	bolter	22829	12966	-	1	false
43	bolter	22829	7401	-	1	false
44	bolter	22829	1416	-	1	false
45	bolter	22829	18702	-	1	false
46	bolter	22829	21190	-	1	false
47	bolter	22829	7644	-	1	false
48	bolter	22829	10840	-	1	false
49	bolter	22829	4344	-	1	false
50	bolter	22829	2134	-	1	false
51	bolter	22829	9405	-	1	false
52	bolter	22829	10721	-	1	false
53	bolter	22829	7522	-	1	false
54	bolter	22829	86	-	1	false
55	bolter	22829	9107	-	1	false
56	bolter	22829	19032	-	1	false
57	bolter	22829	1798	-	1	false
58	bolter	22829	22360	-	1	false
59	bolter	22829	12316	-	1	false
60	bolter	22829	15649	-	1	false
61	bolter	22829	12221	-	1	false
62	bolter	22829	21315	-	1	false
63	bolter	22829	7191	-	1	false
64	bolter	22829	18217	-	1	false
65	bolter	22829	21143	-	1	false
66	bolter	22829	21968	-	1	false
67	bolter	22829	15635	-	1	false
68	bolter	22829	18117	-	1	false
69	bolter	22829	6978	-	1	false
70	bolter	22829	11072	-	1	false
71	bolter	22829	15138	-	1	false
72	bolter	22829	9758	-	1	false
73	bolter	22829	7773	-	1	false
74	bolter	22829	12333	-	1	false
75	bolter	22829	224	-	1	true
76	bolter	22829	16169	-	1	false
77	bolter	22829	15187	-	1	false
78	bolter	22829	11403	-	1	false
79	bolter	22829	19764	-	1	false
80	bolter	22829	7847	-	1	false
81	bolter	22829	18331	-	1	false
82	bolter	22829	11710	-	1	false
83	bolter	22829	12506	-	1	false
84	bolter	22829	5182	-	1	true
85	bolter	22829	10487	-	1	false
86	bolter	22829	16481	-	1	false
87	bolter	22829	10037	-	1	false
88	bolter	22829	12711	-	1	false
89	bolter	22829	9511	-	1	false
90	bolter	22829	9902	-	1	false
91	bolter	22829	234	-	1	true
92	bolter	22829	10396	-	1	false
93	bolter	22829	3685	-	1	false
94	bolter	22829	8657	-	1	false
95	bolter	22829	10849	-	1	false
96	bolter	22829	221	-	1	false
97	bolter	22829	6474	-	1	false
98	bolter	22829	21905	-	1	false
99	bolter	22829	13479	-	1	false
