# seed=42 mode=shotgun file=sample.rtf filesize=1234084
trial	mode	filesize	off	bit	span	detected
0	shotgun	1234084	327175	-	4096	true
1	shotgun	1234084	114553	-	4096	true
2	shotgun	1234084	214041	-	4096	true
3	shotgun	1234084	99313	-	4096	false
4	shotgun	1234084	469194	-	4096	true
5	shotgun	1234084	100673	-	4096	true
6	shotgun	1234084	1019312	-	4096	true
7	shotgun	1234084	121464	-	4096	true
8	shotgun	1234084	634227	-	4096	true
9	shotgun	1234084	338916	-	4096	true
10	shotgun	1234084	1112265	-	4096	true
11	shotgun	1234084	305339	-	4096	true
12	shotgun	1234084	181883	-	4096	true
13	shotgun	1234084	791199	-	4096	true
14	shotgun	1234084	25462	-	4096	true
15	shotgun	1234084	532708	-	4096	true
16	shotgun	1234084	916250	-	4096	true
17	shotgun	1234084	906991	-	4096	true
18	shotgun	1234084	706059	-	4096	true
19	shotgun	1234084	779000	-	4096	true
20	shotgun	1234084	129443	-	4096	true
21	shotgun	1234084	324699	-	4096	true
22	shotgun	1234084	548987	-	4096	true
23	shotgun	1234084	606791	-	4096	true
24	shotgun	1234084	999486	-	4096	true
25	shotgun	1234084	835910	-	4096	true
26	shotgun	1234084	621146	-	4096	true
27	shotgun	1234084	1059894	-	4096	true
28	shotgun	1234084	48312	-	4096	true
29	shotgun	1234084	444267	-	4096	true
30	shotgun	1234084	87965	-	4096	true
31	shotgun	1234084	434071	-	4096	true
32	shotgun	1234084	1108558	-	4096	true
33	shotgun	1234084	390579	-	4096	true
34	shotgun	1234084	1168555	-	4096	false
35	shotgun	1234084	1154558	-	4096	true
36	shotgun	1234084	1228670	-	4096	true
37	shotgun	1234084	1041804	-	4096	true
38	shotgun	1234084	427513	-	4096	true
39	shotgun	1234084	359705	-	4096	true
40	shotgun	1234084	135791	-	4096	true
41	shotgun	1234084	1025309	-	4096	true
42	shotgun	1234084	455270	-	4096	true
43	shotgun	1234084	1129649	-	4096	true
44	shotgun	1234084	629532	-	4096	true
45	shotgun	1234084	384894	-	4096	true
46	shotgun	1234084	612274	-	4096	true
47	shotgun	1234084	898971	-	4096	true
48	shotgun	1234084	575388	-	4096	true
49	shotgun	1234084	759304	-	4096	true
50	shotgun	1234084	430907	-	4096	true
51	shotgun	1234084	624585	-	4096	true
52	shotgun	1234084	1016023	-	4096	true
53	shotgun	1234084	640216	-	4096	true
54	shotgun	1234084	166004	-	4096	false
55	shotgun	1234084	300776	-	4096	true
56	shotgun	1234084	674379	-	4096	true
57	shotgun	1234084	1092540	-	4096	true
58	shotgun	1234084	993641	-	4096	true
59	shotgun	1234084	1125952	-	4096	true
60	shotgun	1234084	998155	-	4096	true
61	shotgun	1234084	773461	-	4096	true
62	shotgun	1234084	631647	-	4096	false
63	shotgun	1234084	635145	-	4096	true
64	shotgun	1234084	153462	-	4096	true
65	shotgun	1234084	148354	-	4096	false
66	shotgun	1234084	71438	-	4096	true
67	shotgun	1234084	873435	-	4096	true
68	shotgun	1234084	1173261	-	4096	true
69	shotgun	1234084	60868	-	4096	false
70	shotgun	1234084	123624	-	4096	true
71	shotgun	1234084	254415	-	4096	true
72	shotgun	1234084	639400	-	4096	true
73	shotgun	1234084	491213	-	4096	true
74	shotgun	1234084	816602	-	4096	true
75	shotgun	1234084	10293	-	4096	true
76	shotgun	1234084	845081	-	4096	true
77	shotgun	1234084	653538	-	4096	true
78	shotgun	1234084	640689	-	4096	true
79	shotgun	1234084	489943	-	4096	true
80	shotgun	1234084	1158441	-	4096	true
81	shotgun	1234084	538854	-	4096	true
82	shotgun	1234084	962078	-	4096	false
83	shotgun	1234084	1056103	-	4096	true
84	shotgun	1234084	1133567	-	4096	true
85	shotgun	1234084	928480	-	4096	true
86	shotgun	1234084	1119860	-	4096	true
87	shotgun	1234084	781928	-	4096	true
88	shotgun	1234084	518278	-	4096	true
89	shotgun	1234084	813018	-	4096	true
90	shotgun	1234084	471114	-	4096	true
91	shotgun	1234084	1122368	-	4096	true
92	shotgun	1234084	244698	-	4096	true
93	shotgun	1234084	884987	-	4096	true
94	shotgun	1234084	243818	-	4096	true
95	shotgun	1234084	850594	-	4096	true
96	shotgun	1234084	306844	-	4096	true
97	shotgun	1234084	478577	-	4096	false
98	shotgun	1234084	45816	-	4096	true
99	shotgun	1234084	557319	-	4096	true
