# seed=42 mode=sniper file=F-ZERO.smc filesize=524288
trial	mode	filesize	off	bit	span	detected
0	sniper	524288	359382	1	1	true
1	sniper	524288	504475	3	1	true
2	sniper	524288	482989	2	1	true
3	sniper	524288	471340	7	1	true
4	sniper	524288	264200	5	1	true
5	sniper	524288	138713	1	1	true
6	sniper	524288	151004	6	1	true
7	sniper	524288	456785	3	1	true
8	sniper	524288	322266	4	1	true
9	sniper	524288	506403	4	1	true
10	sniper	524288	40008	7	1	true
11	sniper	524288	337616	3	1	true
12	sniper	524288	404355	1	1	true
13	sniper	524288	138154	3	1	true
14	sniper	524288	1812	0	1	true
15	sniper	524288	385264	3	1	true
16	sniper	524288	456886	6	1	true
17	sniper	524288	279285	0	1	true
18	sniper	524288	288922	7	1	true
19	sniper	524288	382678	6	1	true
20	sniper	524288	201122	3	1	true
21	sniper	524288	92143	4	1	true
22	sniper	524288	266990	2	1	true
23	sniper	524288	372026	0	1	true
24	sniper	524288	294553	5	1	true
25	sniper	524288	12438	0	1	true
26	sniper	524288	40738	5	1	true
27	sniper	524288	117218	4	1	true
28	sniper	524288	308175	4	1	true
29	sniper	524288	21999	7	1	true
30	sniper	524288	63560	1	1	true
31	sniper	524288	288881	3	1	true
32	sniper	524288	442496	0	1	true
33	sniper	524288	383387	0	1	true
34	sniper	524288	460202	4	1	true
35	sniper	524288	152095	7	1	true
36	sniper	524288	418196	6	1	true
37	sniper	524288	516180	5	1	true
38	sniper	524288	340731	6	1	true
39	sniper	524288	439232	0	1	true
40	sniper	524288	519675	7	1	true
41	sniper	524288	360510	7	1	true
42	sniper	524288	18129	6	1	true
43	sniper	524288	318045	0	1	true
44	sniper	524288	238386	0	1	true
45	sniper	524288	257630	6	1	true
46	sniper	524288	107209	3	1	true
47	sniper	524288	515249	5	1	true
48	sniper	524288	459879	2	1	true
49	sniper	524288	485741	2	1	true
50	sniper	524288	491609	2	1	true
51	sniper	524288	91221	3	1	true
52	sniper	524288	167608	7	1	true
53	sniper	524288	395782	2	1	true
54	sniper	524288	523524	6	1	true
55	sniper	524288	346399	7	1	true
56	sniper	524288	183867	6	1	true
57	sniper	524288	100653	6	1	true
58	sniper	524288	23799	1	1	true
59	sniper	524288	500403	2	1	true
60	sniper	524288	302377	4	1	true
61	sniper	524288	199534	2	1	true
62	sniper	524288	33908	5	1	true
63	sniper	524288	493070	7	1	true
64	sniper	524288	208794	0	1	true
65	sniper	524288	97604	0	1	true
66	sniper	524288	387953	3	1	true
67	sniper	524288	335026	7	1	true
68	sniper	524288	28894	1	1	true
69	sniper	524288	396347	3	1	true
70	sniper	524288	491227	2	1	true
71	sniper	524288	314973	6	1	true
72	sniper	524288	287597	2	1	true
73	sniper	524288	470021	4	1	true
74	sniper	524288	273981	2	1	true
75	sniper	524288	403605	2	1	true
76	sniper	524288	466576	0	1	true
77	sniper	524288	518941	4	1	true
78	sniper	524288	202459	2	1	true
79	sniper	524288	442050	4	1	true
80	sniper	524288	489707	2	1	true
81	sniper	524288	91117	3	1	true
82	sniper	524288	280613	0	1	true
83	sniper	524288	340381	2	1	true
84	sniper	524288	181376	2	1	true
85	sniper	524288	53023	3	1	true
86	sniper	524288	320731	6	1	true
87	sniper	524288	115142	6	1	true
88	sniper	524288	76134	0	1	true
89	sniper	524288	419742	5	1	true
90	sniper	524288	327524	6	1	true
91	sniper	524288	396393	4	1	true
92	sniper	524288	411401	2	1	true
93	sniper	524288	296473	3	1	true
94	sniper	524288	144569	4	1	true
95	sniper	524288	315409	7	1	true
96	sniper	524288	439585	6	1	true
97	sniper	524288	459061	2	1	true
98	sniper	524288	59651	0	1	true
99	sniper	524288	196698	7	1	true
