# seed=42 mode=sniper file=sample.song filesize=42216
trial	mode	filesize	off	bit	span	detected
0	sniper	42216	14462	1	1	true
1	sniper	42216	13995	3	1	true
2	sniper	42216	25149	2	1	true
3	sniper	42216	8556	7	1	true
4	sniper	42216	37304	5	1	true
5	sniper	42216	12169	1	1	true
6	sniper	42216	28284	6	1	true
7	sniper	42216	30185	3	1	true
8	sniper	42216	28594	4	1	true
9	sniper	42216	34259	4	1	true
10	sniper	42216	13704	7	1	true
11	sniper	42216	14688	3	1	true
12	sniper	42216	33347	1	1	true
13	sniper	42216	41082	3	1	true
14	sniper	42216	13516	0	1	true
15	sniper	42216	192	3	1	true
16	sniper	42216	29302	6	1	true
17	sniper	42216	27565	0	1	true
18	sniper	42216	13674	7	1	true
19	sniper	42216	6662	6	1	true
20	sniper	42216	13370	3	1	true
21	sniper	42216	38583	4	1	true
22	sniper	42216	15886	2	1	true
23	sniper	42216	26546	0	1	true
24	sniper	42216	8505	5	1	true
25	sniper	42216	26574	0	1	true
26	sniper	42216	26306	5	1	true
27	sniper	42216	38434	4	1	true
28	sniper	42216	21927	4	1	true
29	sniper	42216	22303	7	1	true
30	sniper	42216	36552	1	1	true
31	sniper	42216	19937	3	1	true
32	sniper	42216	2968	0	1	true
33	sniper	42216	33475	0	1	true
34	sniper	42216	15418	4	1	true
35	sniper	42216	27239	7	1	true
36	sniper	42216	13860	6	1	true
37	sniper	42216	4436	5	1	true
38	sniper	42216	35603	6	1	true
39	sniper	42216	17256	0	1	true
40	sniper	42216	4779	7	1	true
41	sniper	42216	15422	7	1	true
42	sniper	42216	19009	6	1	true
43	sniper	42216	11781	0	1	true
44	sniper	42216	2594	0	1	true
45	sniper	42216	33566	6	1	true
46	sniper	42216	37449	3	1	true
47	sniper	42216	18729	5	1	true
48	sniper	42216	23255	2	1	true
49	sniper	42216	31613	2	1	true
50	sniper	42216	241	2	1	true
51	sniper	42216	37565	3	1	true
52	sniper	42216	16712	7	1	true
53	sniper	42216	19942	2	1	true
54	sniper	42216	3004	6	1	true
55	sniper	42216	22647	7	1	true
56	sniper	42216	29171	6	1	true
57	sniper	42216	39325	6	1	true
58	sniper	42216	41695	1	1	true
59	sniper	42216	4275	2	1	true
60	sniper	42216	34561	4	1	true
61	sniper	42216	14934	2	1	true
62	sniper	42216	9500	5	1	true
63	sniper	42216	10510	7	1	true
64	sniper	42216	19298	0	1	true
65	sniper	42216	18204	0	1	true
66	sniper	42216	34425	3	1	true
67	sniper	42216	35050	7	1	true
68	sniper	42216	41006	1	1	true
69	sniper	42216	4563	3	1	true
70	sniper	42216	2731	2	1	true
71	sniper	42216	23021	6	1	true
72	sniper	42216	28181	2	1	true
73	sniper	42216	32237	4	1	true
74	sniper	42216	20437	2	1	true
75	sniper	42216	27085	2	1	true
76	sniper	42216	5504	0	1	true
77	sniper	42216	5965	4	1	true
78	sniper	42216	33795	2	1	true
79	sniper	42216	29442	4	1	true
80	sniper	42216	26819	2	1	true
81	sniper	42216	38373	3	1	true
82	sniper	42216	36165	0	1	true
83	sniper	42216	15573	2	1	true
84	sniper	42216	20616	2	1	true
85	sniper	42216	13927	3	1	true
86	sniper	42216	25451	6	1	true
87	sniper	42216	37022	6	1	true
88	sniper	42216	20646	0	1	true
89	sniper	42216	37342	5	1	true
90	sniper	42216	19148	6	1	true
91	sniper	42216	34217	4	1	true
92	sniper	42216	34057	2	1	true
93	sniper	42216	15017	3	1	true
94	sniper	42216	28065	4	1	true
95	sniper	42216	24137	7	1	true
96	sniper	42216	12561	6	1	true
97	sniper	42216	24885	2	1	true
98	sniper	42216	21819	0	1	true
99	sniper	42216	15370	7	1	true
