# seed=42 mode=sniper file=cws_sample.swf filesize=24202
trial	mode	filesize	off	bit	span	detected
0	sniper	24202	16030	1	1	true
1	sniper	24202	1587	3	1	true
2	sniper	24202	19933	2	1	true
3	sniper	24202	6176	7	1	true
4	sniper	24202	12282	5	1	true
5	sniper	24202	2813	1	1	true
6	sniper	24202	20062	6	1	true
7	sniper	24202	829	3	1	true
8	sniper	24202	13318	4	1	true
9	sniper	24202	11003	4	1	true
10	sniper	24202	10720	7	1	true
11	sniper	24202	4736	3	1	true
12	sniper	24202	1995	1	1	true
13	sniper	24202	20668	3	1	true
14	sniper	24202	19480	0	1	true
15	sniper	24202	17964	3	1	true
16	sniper	24202	13468	6	1	true
17	sniper	24202	7549	0	1	true
18	sniper	24202	4642	7	1	true
19	sniper	24202	9716	6	1	true
20	sniper	24202	1554	3	1	true
21	sniper	24202	22279	4	1	true
22	sniper	24202	18672	2	1	true
23	sniper	24202	13970	0	1	true
24	sniper	24202	3329	5	1	true
25	sniper	24202	10516	0	1	true
26	sniper	24202	23036	5	1	true
27	sniper	24202	6656	4	1	true
28	sniper	24202	6511	4	1	true
29	sniper	24202	17549	7	1	true
30	sniper	24202	1730	1	1	true
31	sniper	24202	6679	3	1	true
32	sniper	24202	10848	0	1	true
33	sniper	24202	13161	0	1	true
34	sniper	24202	22746	4	1	true
35	sniper	24202	20053	7	1	true
36	sniper	24202	8200	6	1	true
37	sniper	24202	3386	5	1	true
38	sniper	24202	917	6	1	true
39	sniper	24202	5792	0	1	true
40	sniper	24202	1797	7	1	true
41	sniper	24202	7094	7	1	true
42	sniper	24202	4369	6	1	true
43	sniper	24202	13185	0	1	true
44	sniper	24202	18212	0	1	true
45	sniper	24202	7002	6	1	true
46	sniper	24202	6755	3	1	true
47	sniper	24202	21475	5	1	true
48	sniper	24202	6165	2	1	true
49	sniper	24202	2125	2	1	true
50	sniper	24202	10477	2	1	true
51	sniper	24202	20229	3	1	true
52	sniper	24202	17470	7	1	true
53	sniper	24202	720	2	1	true
54	sniper	24202	11626	6	1	true
55	sniper	24202	19881	7	1	true
56	sniper	24202	4851	6	1	true
57	sniper	24202	19429	6	1	true
58	sniper	24202	18027	1	1	true
59	sniper	24202	11269	2	1	true
60	sniper	24202	1273	4	1	true
61	sniper	24202	13106	2	1	true
62	sniper	24202	19012	5	1	true
63	sniper	24202	19474	7	1	true
64	sniper	24202	20822	0	1	true
65	sniper	24202	20084	0	1	true
66	sniper	24202	15213	3	1	true
67	sniper	24202	7854	7	1	true
68	sniper	24202	19132	1	1	true
69	sniper	24202	14051	3	1	true
70	sniper	24202	19911	2	1	true
71	sniper	24202	10259	6	1	true
72	sniper	24202	5347	2	1	true
73	sniper	24202	10631	4	1	true
74	sniper	24202	12901	2	1	true
75	sniper	24202	485	2	1	true
76	sniper	24202	21698	0	1	true
77	sniper	24202	15737	4	1	true
78	sniper	24202	19283	2	1	true
79	sniper	24202	22794	4	1	true
80	sniper	24202	7175	2	1	true
81	sniper	24202	22853	3	1	true
82	sniper	24202	22431	0	1	true
83	sniper	24202	17499	2	1	true
84	sniper	24202	19248	2	1	true
85	sniper	24202	9327	3	1	true
86	sniper	24202	8865	6	1	true
87	sniper	24202	4394	6	1	true
88	sniper	24202	15704	0	1	true
89	sniper	24202	19560	5	1	true
90	sniper	24202	5700	6	1	true
91	sniper	24202	17997	4	1	true
92	sniper	24202	14643	2	1	true
93	sniper	24202	3187	3	1	true
94	sniper	24202	6615	4	1	true
95	sniper	24202	18753	7	1	true
96	sniper	24202	18927	6	1	true
97	sniper	24202	10147	2	1	true
98	sniper	24202	14797	0	1	true
99	sniper	24202	16764	7	1	true
