# seed=42 mode=bolter file=sample.tar filesize=4096
trial	mode	filesize	off	bit	span	detected
0	bolter	4096	3030	-	1	true
1	bolter	4096	1193	-	1	true
2	bolter	4096	667	-	1	false
3	bolter	4096	899	-	1	false
4	bolter	4096	3757	-	1	true
5	bolter	4096	1586	-	1	false
6	bolter	4096	300	-	1	true
7	bolter	4096	2007	-	1	true
8	bolter	4096	2056	-	1	true
9	bolter	4096	2741	-	1	true
10	bolter	4096	3545	-	1	true
11	bolter	4096	129	-	1	true
12	bolter	4096	3548	-	1	true
13	bolter	4096	2966	-	1	true
14	bolter	4096	2129	-	1	true
15	bolter	4096	619	-	1	false
16	bolter	4096	2778	-	1	true
17	bolter	4096	3652	-	1	true
18	bolter	4096	2595	-	1	false
19	bolter	4096	2500	-	1	true
20	bolter	4096	3144	-	1	true
21	bolter	4096	3863	-	1	true
22	bolter	4096	1744	-	1	true
23	bolter	4096	1963	-	1	true
24	bolter	4096	2947	-	1	true
25	bolter	4096	545	-	1	false
26	bolter	4096	2986	-	1	true
27	bolter	4096	3227	-	1	true
28	bolter	4096	1812	-	1	true
29	bolter	4096	3272	-	1	true
30	bolter	4096	240	-	1	true
31	bolter	4096	1291	-	1	true
32	bolter	4096	2230	-	1	true
33	bolter	4096	3558	-	1	true
34	bolter	4096	757	-	1	false
35	bolter	4096	1256	-	1	true
36	bolter	4096	2202	-	1	true
37	bolter	4096	2415	-	1	true
38	bolter	4096	1750	-	1	true
39	bolter	4096	2230	-	1	true
40	bolter	4096	418	-	1	true
41	bolter	4096	827	-	1	false
42	bolter	4096	2031	-	1	true
43	bolter	4096	1180	-	1	true
44	bolter	4096	750	-	1	false
45	bolter	4096	1754	-	1	true
46	bolter	4096	3386	-	1	true
47	bolter	4096	864	-	1	false
48	bolter	4096	3737	-	1	true
49	bolter	4096	2517	-	1	true
50	bolter	4096	150	-	1	true
51	bolter	4096	24	-	1	true
52	bolter	4096	3874	-	1	true
53	bolter	4096	645	-	1	false
54	bolter	4096	2530	-	1	true
55	bolter	4096	2708	-	1	true
56	bolter	4096	975	-	1	false
57	bolter	4096	668	-	1	false
58	bolter	4096	1519	-	1	true
59	bolter	4096	519	-	1	false
60	bolter	4096	2120	-	1	true
61	bolter	4096	2713	-	1	true
62	bolter	4096	2161	-	1	true
63	bolter	4096	1307	-	1	true
64	bolter	4096	128	-	1	true
65	bolter	4096	3952	-	1	true
66	bolter	4096	2459	-	1	true
67	bolter	4096	560	-	1	false
68	bolter	4096	1450	-	1	true
69	bolter	4096	3084	-	1	true
70	bolter	4096	543	-	1	false
71	bolter	4096	1103	-	1	true
72	bolter	4096	404	-	1	true
73	bolter	4096	374	-	1	true
74	bolter	4096	84	-	1	true
75	bolter	4096	4005	-	1	true
76	bolter	4096	763	-	1	false
77	bolter	4096	3638	-	1	true
78	bolter	4096	960	-	1	false
79	bolter	4096	1088	-	1	true
80	bolter	4096	3579	-	1	true
81	bolter	4096	895	-	1	false
82	bolter	4096	62	-	1	true
83	bolter	4096	383	-	1	true
84	bolter	4096	1745	-	1	true
85	bolter	4096	390	-	1	true
86	bolter	4096	2653	-	1	true
87	bolter	4096	1304	-	1	true
88	bolter	4096	818	-	1	false
89	bolter	4096	760	-	1	false
90	bolter	4096	3678	-	1	true
91	bolter	4096	406	-	1	true
92	bolter	4096	713	-	1	false
93	bolter	4096	419	-	1	true
94	bolter	4096	3249	-	1	true
95	bolter	4096	2973	-	1	true
96	bolter	4096	1127	-	1	true
97	bolter	4096	3258	-	1	true
98	bolter	4096	2413	-	1	true
99	bolter	4096	1682	-	1	true
