# seed=42 mode=shotgun file=otm.mod filesize=308354
trial	mode	filesize	off	bit	span	detected
0	shotgun	308354	83676	-	4096	false
1	shotgun	308354	271627	-	4096	false
2	shotgun	308354	3941	-	4096	false
3	shotgun	308354	74104	-	4096	false
4	shotgun	308354	230246	-	4096	false
5	shotgun	308354	158703	-	4096	false
6	shotgun	308354	294763	-	4096	false
7	shotgun	308354	211194	-	4096	false
8	shotgun	308354	99483	-	4096	false
9	shotgun	308354	278792	-	4096	false
10	shotgun	308354	157443	-	4096	false
11	shotgun	308354	274943	-	4096	false
12	shotgun	308354	280410	-	4096	false
13	shotgun	308354	78177	-	4096	false
14	shotgun	308354	28131	-	4096	false
15	shotgun	308354	42405	-	4096	false
16	shotgun	308354	159182	-	4096	false
17	shotgun	308354	186264	-	4096	false
18	shotgun	308354	290956	-	4096	false
19	shotgun	308354	189319	-	4096	false
20	shotgun	308354	37831	-	4096	false
21	shotgun	308354	101707	-	4096	false
22	shotgun	308354	170832	-	4096	false
23	shotgun	308354	109541	-	4096	false
24	shotgun	308354	247332	-	4096	false
25	shotgun	308354	90369	-	4096	false
26	shotgun	308354	155657	-	4096	false
27	shotgun	308354	293846	-	4096	false
28	shotgun	308354	65511	-	4096	false
29	shotgun	308354	273238	-	4096	false
30	shotgun	308354	159009	-	4096	false
31	shotgun	308354	268139	-	4096	false
32	shotgun	308354	160137	-	4096	false
33	shotgun	308354	98332	-	4096	false
34	shotgun	308354	217070	-	4096	false
35	shotgun	308354	31620	-	4096	false
36	shotgun	308354	77703	-	4096	false
37	shotgun	308354	129724	-	4096	false
38	shotgun	308354	33402	-	4096	false
39	shotgun	308354	79380	-	4096	false
40	shotgun	308354	199342	-	4096	false
41	shotgun	308354	243578	-	4096	false
42	shotgun	308354	53666	-	4096	false
43	shotgun	308354	132146	-	4096	false
44	shotgun	308354	267879	-	4096	false
45	shotgun	308354	177251	-	4096	false
46	shotgun	308354	23685	-	4096	false
47	shotgun	308354	5153	-	4096	false
48	shotgun	308354	216799	-	4096	false
49	shotgun	308354	280133	-	4096	false
50	shotgun	308354	162867	-	4096	false
51	shotgun	308354	262386	-	4096	false
52	shotgun	308354	50281	-	4096	false
53	shotgun	308354	90881	-	4096	false
54	shotgun	308354	128934	-	4096	false
55	shotgun	308354	183592	-	4096	false
56	shotgun	308354	82787	-	4096	false
57	shotgun	308354	167356	-	4096	false
58	shotgun	308354	270396	-	4096	false
59	shotgun	308354	231042	-	4096	false
60	shotgun	308354	133458	-	4096	false
61	shotgun	308354	215207	-	4096	false
62	shotgun	308354	243603	-	4096	false
63	shotgun	308354	303159	-	4096	false
64	shotgun	308354	49170	-	4096	false
65	shotgun	308354	160912	-	4096	false
66	shotgun	308354	35794	-	4096	false
67	shotgun	308354	148006	-	4096	false
68	shotgun	308354	218288	-	4096	false
69	shotgun	308354	259955	-	4096	false
70	shotgun	308354	92075	-	4096	false
71	shotgun	308354	247619	-	4096	false
72	shotgun	308354	297101	-	4096	false
73	shotgun	308354	144090	-	4096	false
74	shotgun	308354	247974	-	4096	false
75	shotgun	308354	218177	-	4096	false
76	shotgun	308354	79306	-	4096	false
77	shotgun	308354	109997	-	4096	false
78	shotgun	308354	149718	-	4096	false
79	shotgun	308354	93192	-	4096	false
80	shotgun	308354	143951	-	4096	false
81	shotgun	308354	8144	-	4096	false
82	shotgun	308354	274082	-	4096	false
83	shotgun	308354	291481	-	4096	false
84	shotgun	308354	73271	-	4096	false
85	shotgun	308354	75432	-	4096	false
86	shotgun	308354	185545	-	4096	false
87	shotgun	308354	274789	-	4096	false
88	shotgun	308354	280907	-	4096	false
89	shotgun	308354	281550	-	4096	false
90	shotgun	308354	114709	-	4096	false
91	shotgun	308354	271716	-	4096	false
92	shotgun	308354	138495	-	4096	false
93	shotgun	308354	78503	-	4096	false
94	shotgun	308354	201288	-	4096	false
95	shotgun	308354	74233	-	4096	false
96	shotgun	308354	71323	-	4096	false
97	shotgun	308354	293776	-	4096	false
98	shotgun	308354	159753	-	4096	false
99	shotgun	308354	212380	-	4096	false
