# seed=42 mode=bolter file=sample.vmdk filesize=65536
trial	mode	filesize	off	bit	span	detected
0	bolter	65536	31702	-	1	false
1	bolter	65536	50345	-	1	false
2	bolter	65536	45723	-	1	false
3	bolter	65536	21379	-	1	false
4	bolter	65536	24237	-	1	false
5	bolter	65536	46642	-	1	false
6	bolter	65536	12588	-	1	false
7	bolter	65536	51159	-	1	false
8	bolter	65536	2056	-	1	false
9	bolter	65536	15029	-	1	false
10	bolter	65536	7641	-	1	false
11	bolter	65536	8321	-	1	false
12	bolter	65536	19932	-	1	false
13	bolter	65536	56214	-	1	false
14	bolter	65536	63569	-	1	false
15	bolter	65536	8811	-	1	false
16	bolter	65536	60122	-	1	false
17	bolter	65536	56900	-	1	false
18	bolter	65536	47651	-	1	false
19	bolter	65536	47556	-	1	false
20	bolter	65536	40008	-	1	false
21	bolter	65536	20247	-	1	false
22	bolter	65536	9936	-	1	false
23	bolter	65536	26539	-	1	false
24	bolter	65536	11139	-	1	false
25	bolter	65536	41505	-	1	false
26	bolter	65536	7082	-	1	false
27	bolter	65536	7323	-	1	false
28	bolter	65536	1812	-	1	false
29	bolter	65536	40136	-	1	false
30	bolter	65536	57584	-	1	false
31	bolter	65536	17675	-	1	false
32	bolter	65536	63670	-	1	false
33	bolter	65536	32230	-	1	false
34	bolter	65536	17141	-	1	false
35	bolter	65536	1256	-	1	false
36	bolter	65536	26778	-	1	false
37	bolter	65536	55663	-	1	false
38	bolter	65536	54998	-	1	false
39	bolter	65536	10422	-	1	false
40	bolter	65536	4514	-	1	false
41	bolter	65536	49979	-	1	false
42	bolter	65536	26607	-	1	false
43	bolter	65536	29852	-	1	false
44	bolter	65536	4846	-	1	false
45	bolter	65536	5850	-	1	false
46	bolter	65536	44346	-	1	false
47	bolter	65536	25440	-	1	false
48	bolter	65536	32409	-	1	false
49	bolter	65536	18901	-	1	false
50	bolter	65536	12438	-	1	false
51	bolter	65536	61464	-	1	false
52	bolter	65536	40738	-	1	false
53	bolter	65536	53893	-	1	false
54	bolter	65536	51682	-	1	false
55	bolter	65536	35476	-	1	false
56	bolter	65536	46031	-	1	false
57	bolter	65536	12956	-	1	false
58	bolter	65536	21999	-	1	false
59	bolter	65536	53767	-	1	false
60	bolter	65536	63560	-	1	false
61	bolter	65536	47769	-	1	false
62	bolter	65536	26737	-	1	false
63	bolter	65536	29979	-	1	false
64	bolter	65536	49280	-	1	false
65	bolter	65536	20336	-	1	false
66	bolter	65536	55707	-	1	false
67	bolter	65536	49712	-	1	false
68	bolter	65536	1450	-	1	false
69	bolter	65536	60428	-	1	false
70	bolter	65536	21023	-	1	false
71	bolter	65536	25679	-	1	false
72	bolter	65536	24980	-	1	false
73	bolter	65536	24950	-	1	false
74	bolter	65536	57428	-	1	false
75	bolter	65536	24485	-	1	false
76	bolter	65536	13051	-	1	false
77	bolter	65536	52790	-	1	false
78	bolter	65536	46016	-	1	false
79	bolter	65536	9280	-	1	false
80	bolter	65536	60923	-	1	false
81	bolter	65536	50047	-	1	false
82	bolter	65536	32830	-	1	false
83	bolter	65536	49535	-	1	false
84	bolter	65536	18129	-	1	false
85	bolter	65536	8582	-	1	false
86	bolter	65536	55901	-	1	false
87	bolter	65536	34072	-	1	false
88	bolter	65536	41778	-	1	false
89	bolter	65536	4856	-	1	false
90	bolter	65536	61022	-	1	false
91	bolter	65536	41366	-	1	false
92	bolter	65536	41673	-	1	false
93	bolter	65536	45475	-	1	false
94	bolter	65536	56497	-	1	false
95	bolter	65536	56221	-	1	false
96	bolter	65536	1127	-	1	false
97	bolter	65536	7354	-	1	false
98	bolter	65536	26989	-	1	false
99	bolter	65536	22162	-	1	false
