# seed=42 mode=shotgun file=sample.vmdk filesize=65536
trial	mode	filesize	off	bit	span	detected
0	shotgun	65536	56291	-	4096	false
1	shotgun	65536	28152	-	4096	false
2	shotgun	65536	15183	-	4096	false
3	shotgun	65536	16670	-	4096	false
4	shotgun	65536	31956	-	4096	false
5	shotgun	65536	17651	-	4096	false
6	shotgun	65536	12739	-	4096	false
7	shotgun	65536	26889	-	4096	false
8	shotgun	65536	56992	-	4096	false
9	shotgun	65536	38282	-	4096	false
10	shotgun	65536	13802	-	4096	false
11	shotgun	65536	38953	-	4096	false
12	shotgun	65536	1939	-	4096	false
13	shotgun	65536	2923	-	4096	false
14	shotgun	65536	22238	-	4096	false
15	shotgun	65536	12713	-	4096	false
16	shotgun	65536	2165	-	4096	false
17	shotgun	65536	55210	-	4096	false
18	shotgun	65536	6111	-	4096	false
19	shotgun	65536	23433	-	4096	false
20	shotgun	65536	18502	-	4096	false
21	shotgun	65536	1475	-	4096	false
22	shotgun	65536	20914	-	4096	false
23	shotgun	65536	4112	-	4096	false
24	shotgun	65536	29878	-	4096	false
25	shotgun	65536	17240	-	4096	false
26	shotgun	65536	6599	-	4096	false
27	shotgun	65536	47800	-	4096	false
28	shotgun	65536	7584	-	4096	false
29	shotgun	65536	58410	-	4096	false
30	shotgun	65536	5797	-	4096	false
31	shotgun	65536	53187	-	4096	false
32	shotgun	65536	44334	-	4096	false
33	shotgun	65536	43226	-	4096	false
34	shotgun	65536	53242	-	4096	false
35	shotgun	65536	34400	-	4096	false
36	shotgun	65536	34961	-	4096	false
37	shotgun	65536	39884	-	4096	false
38	shotgun	65536	31190	-	4096	false
39	shotgun	65536	39198	-	4096	false
40	shotgun	65536	45376	-	4096	false
41	shotgun	65536	15585	-	4096	false
42	shotgun	65536	50700	-	4096	false
43	shotgun	65536	57210	-	4096	false
44	shotgun	65536	18154	-	4096	false
45	shotgun	65536	4672	-	4096	false
46	shotgun	65536	15038	-	4096	false
47	shotgun	65536	19892	-	4096	false
48	shotgun	65536	15099	-	4096	false
49	shotgun	65536	34647	-	4096	false
50	shotgun	65536	2313	-	4096	false
51	shotgun	65536	26203	-	4096	false
52	shotgun	65536	54598	-	4096	false
53	shotgun	65536	39359	-	4096	false
54	shotgun	65536	56200	-	4096	false
55	shotgun	65536	57802	-	4096	false
56	shotgun	65536	25739	-	4096	false
57	shotgun	65536	33878	-	4096	false
58	shotgun	65536	16334	-	4096	false
59	shotgun	65536	27101	-	4096	false
60	shotgun	65536	43753	-	4096	false
61	shotgun	65536	12839	-	4096	false
62	shotgun	65536	30612	-	4096	false
63	shotgun	65536	58330	-	4096	false
64	shotgun	65536	34854	-	4096	false
65	shotgun	65536	33769	-	4096	false
66	shotgun	65536	51711	-	4096	false
67	shotgun	65536	9553	-	4096	false
68	shotgun	65536	19225	-	4096	false
69	shotgun	65536	23510	-	4096	false
70	shotgun	65536	6427	-	4096	false
71	shotgun	65536	42981	-	4096	false
72	shotgun	65536	1989	-	4096	false
73	shotgun	65536	26654	-	4096	false
74	shotgun	65536	57140	-	4096	false
75	shotgun	65536	10448	-	4096	false
76	shotgun	65536	10812	-	4096	false
77	shotgun	65536	38790	-	4096	false
78	shotgun	65536	11438	-	4096	false
79	shotgun	65536	30165	-	4096	false
80	shotgun	65536	59106	-	4096	false
81	shotgun	65536	48787	-	4096	false
82	shotgun	65536	11626	-	4096	false
83	shotgun	65536	11204	-	4096	false
84	shotgun	65536	9482	-	4096	false
85	shotgun	65536	7422	-	4096	false
86	shotgun	65536	30498	-	4096	false
87	shotgun	65536	44846	-	4096	false
88	shotgun	65536	42367	-	4096	false
89	shotgun	65536	34925	-	4096	false
90	shotgun	65536	43164	-	4096	false
91	shotgun	65536	20261	-	4096	false
92	shotgun	65536	48694	-	4096	false
93	shotgun	65536	30941	-	4096	false
94	shotgun	65536	18210	-	4096	false
95	shotgun	65536	23668	-	4096	false
96	shotgun	65536	31526	-	4096	false
97	shotgun	65536	49604	-	4096	false
98	shotgun	65536	54323	-	4096	false
99	shotgun	65536	40776	-	4096	false
