# seed=42 mode=shotgun file=sample.wav filesize=8864
trial	mode	filesize	off	bit	span	detected
0	shotgun	8864	1586	-	4096	false
1	shotgun	8864	2669	-	4096	false
2	shotgun	8864	3600	-	4096	false
3	shotgun	8864	2729	-	4096	false
4	shotgun	8864	3866	-	4096	false
5	shotgun	8864	2577	-	4096	false
6	shotgun	8864	1793	-	4096	false
7	shotgun	8864	4097	-	4096	false
8	shotgun	8864	1137	-	4096	false
9	shotgun	8864	1456	-	4096	false
10	shotgun	8864	2090	-	4096	false
11	shotgun	8864	515	-	4096	false
12	shotgun	8864	4234	-	4096	false
13	shotgun	8864	957	-	4096	false
14	shotgun	8864	139	-	4096	false
15	shotgun	8864	2391	-	4096	false
16	shotgun	8864	80	-	4096	false
17	shotgun	8864	4007	-	4096	false
18	shotgun	8864	1698	-	4096	false
19	shotgun	8864	2383	-	4096	false
20	shotgun	8864	3551	-	4096	false
21	shotgun	8864	3112	-	4096	false
22	shotgun	8864	3109	-	4096	false
23	shotgun	8864	2751	-	4096	false
24	shotgun	8864	982	-	4096	false
25	shotgun	8864	3947	-	4096	false
26	shotgun	8864	732	-	4096	false
27	shotgun	8864	4555	-	4096	false
28	shotgun	8864	3362	-	4096	false
29	shotgun	8864	443	-	4096	false
30	shotgun	8864	1891	-	4096	false
31	shotgun	8864	2446	-	4096	false
32	shotgun	8864	1241	-	4096	false
33	shotgun	8864	3857	-	4096	false
34	shotgun	8864	29	-	4096	true
35	shotgun	8864	1727	-	4096	false
36	shotgun	8864	1169	-	4096	false
37	shotgun	8864	132	-	4096	false
38	shotgun	8864	189	-	4096	false
39	shotgun	8864	652	-	4096	false
40	shotgun	8864	509	-	4096	false
41	shotgun	8864	2347	-	4096	false
42	shotgun	8864	2583	-	4096	false
43	shotgun	8864	1558	-	4096	false
44	shotgun	8864	2582	-	4096	false
45	shotgun	8864	4523	-	4096	false
46	shotgun	8864	1232	-	4096	false
47	shotgun	8864	4154	-	4096	false
48	shotgun	8864	109	-	4096	false
49	shotgun	8864	2519	-	4096	false
50	shotgun	8864	4320	-	4096	false
51	shotgun	8864	3074	-	4096	false
52	shotgun	8864	321	-	4096	false
53	shotgun	8864	11	-	4096	true
54	shotgun	8864	1727	-	4096	false
55	shotgun	8864	1819	-	4096	false
56	shotgun	8864	256	-	4096	false
57	shotgun	8864	182	-	4096	false
58	shotgun	8864	164	-	4096	false
59	shotgun	8864	3563	-	4096	false
60	shotgun	8864	215	-	4096	false
61	shotgun	8864	1753	-	4096	false
62	shotgun	8864	4321	-	4096	false
63	shotgun	8864	4551	-	4096	false
64	shotgun	8864	3803	-	4096	false
65	shotgun	8864	4181	-	4096	false
66	shotgun	8864	3763	-	4096	false
67	shotgun	8864	1863	-	4096	false
68	shotgun	8864	2449	-	4096	false
69	shotgun	8864	4697	-	4096	false
70	shotgun	8864	3234	-	4096	false
71	shotgun	8864	2879	-	4096	false
72	shotgun	8864	588	-	4096	false
73	shotgun	8864	2013	-	4096	false
74	shotgun	8864	396	-	4096	false
75	shotgun	8864	3527	-	4096	false
76	shotgun	8864	4012	-	4096	false
77	shotgun	8864	4426	-	4096	false
78	shotgun	8864	330	-	4096	false
79	shotgun	8864	4484	-	4096	false
80	shotgun	8864	533	-	4096	false
81	shotgun	8864	2760	-	4096	false
82	shotgun	8864	2203	-	4096	false
83	shotgun	8864	1986	-	4096	false
84	shotgun	8864	3324	-	4096	false
85	shotgun	8864	1465	-	4096	false
86	shotgun	8864	4149	-	4096	false
87	shotgun	8864	1060	-	4096	false
88	shotgun	8864	353	-	4096	false
89	shotgun	8864	4224	-	4096	false
90	shotgun	8864	2842	-	4096	false
91	shotgun	8864	3450	-	4096	false
92	shotgun	8864	2004	-	4096	false
93	shotgun	8864	2709	-	4096	false
94	shotgun	8864	399	-	4096	false
95	shotgun	8864	1642	-	4096	false
96	shotgun	8864	3051	-	4096	false
97	shotgun	8864	2788	-	4096	false
98	shotgun	8864	3040	-	4096	false
99	shotgun	8864	3442	-	4096	false
