# seed=42 mode=shotgun file=corpus_xorshift.wv filesize=120654
trial	mode	filesize	off	bit	span	detected
0	shotgun	120654	105827	-	4096	true
1	shotgun	120654	48742	-	4096	true
2	shotgun	120654	28392	-	4096	true
3	shotgun	120654	66743	-	4096	true
4	shotgun	120654	84273	-	4096	true
5	shotgun	120654	33694	-	4096	true
6	shotgun	120654	82482	-	4096	true
7	shotgun	120654	108376	-	4096	true
8	shotgun	120654	15536	-	4096	true
9	shotgun	120654	69203	-	4096	true
10	shotgun	120654	14705	-	4096	true
11	shotgun	120654	111490	-	4096	true
12	shotgun	120654	52297	-	4096	true
13	shotgun	120654	49738	-	4096	true
14	shotgun	120654	99717	-	4096	true
15	shotgun	120654	40582	-	4096	true
16	shotgun	120654	53431	-	4096	true
17	shotgun	120654	33786	-	4096	true
18	shotgun	120654	47067	-	4096	true
19	shotgun	120654	51875	-	4096	true
20	shotgun	120654	30682	-	4096	true
21	shotgun	120654	79145	-	4096	true
22	shotgun	120654	109659	-	4096	true
23	shotgun	120654	83643	-	4096	true
24	shotgun	120654	68609	-	4096	true
25	shotgun	120654	51901	-	4096	true
26	shotgun	120654	39824	-	4096	true
27	shotgun	120654	66973	-	4096	true
28	shotgun	120654	43227	-	4096	true
29	shotgun	120654	93863	-	4096	true
30	shotgun	120654	89879	-	4096	true
31	shotgun	120654	29091	-	4096	true
32	shotgun	120654	49582	-	4096	true
33	shotgun	120654	107656	-	4096	true
34	shotgun	120654	30117	-	4096	true
35	shotgun	120654	31943	-	4096	true
36	shotgun	120654	11999	-	4096	true
37	shotgun	120654	89001	-	4096	true
38	shotgun	120654	81936	-	4096	true
39	shotgun	120654	44240	-	4096	true
40	shotgun	120654	114245	-	4096	true
41	shotgun	120654	5799	-	4096	true
42	shotgun	120654	86233	-	4096	true
43	shotgun	120654	8385	-	4096	true
44	shotgun	120654	88891	-	4096	true
45	shotgun	120654	48657	-	4096	true
46	shotgun	120654	103143	-	4096	true
47	shotgun	120654	64275	-	4096	true
48	shotgun	120654	114209	-	4096	true
49	shotgun	120654	107663	-	4096	true
50	shotgun	120654	61856	-	4096	true
51	shotgun	120654	91506	-	4096	true
52	shotgun	120654	69703	-	4096	true
53	shotgun	120654	96371	-	4096	true
54	shotgun	120654	53911	-	4096	true
55	shotgun	120654	73930	-	4096	true
56	shotgun	120654	90280	-	4096	true
57	shotgun	120654	88107	-	4096	true
58	shotgun	120654	33412	-	4096	true
59	shotgun	120654	73262	-	4096	true
60	shotgun	120654	9273	-	4096	true
61	shotgun	120654	104008	-	4096	true
62	shotgun	120654	90823	-	4096	true
63	shotgun	120654	49315	-	4096	true
64	shotgun	120654	103080	-	4096	true
65	shotgun	120654	90987	-	4096	true
66	shotgun	120654	61493	-	4096	true
67	shotgun	120654	60013	-	4096	true
68	shotgun	120654	88470	-	4096	true
69	shotgun	120654	17335	-	4096	true
70	shotgun	120654	56964	-	4096	true
71	shotgun	120654	94065	-	4096	true
72	shotgun	120654	85183	-	4096	true
73	shotgun	120654	104350	-	4096	true
74	shotgun	120654	57709	-	4096	true
75	shotgun	120654	83380	-	4096	true
76	shotgun	120654	81497	-	4096	true
77	shotgun	120654	34786	-	4096	true
78	shotgun	120654	30578	-	4096	true
79	shotgun	120654	48354	-	4096	true
80	shotgun	120654	33987	-	4096	true
81	shotgun	120654	92072	-	4096	true
82	shotgun	120654	6587	-	4096	true
83	shotgun	120654	48771	-	4096	true
84	shotgun	120654	18012	-	4096	true
85	shotgun	120654	27396	-	4096	true
86	shotgun	120654	114653	-	4096	true
87	shotgun	120654	40725	-	4096	true
88	shotgun	120654	106177	-	4096	true
89	shotgun	120654	32396	-	4096	true
90	shotgun	120654	96246	-	4096	true
91	shotgun	120654	66202	-	4096	true
92	shotgun	120654	104224	-	4096	true
93	shotgun	120654	75726	-	4096	true
94	shotgun	120654	90786	-	4096	true
95	shotgun	120654	5845	-	4096	true
96	shotgun	120654	96900	-	4096	true
97	shotgun	120654	75117	-	4096	true
98	shotgun	120654	63159	-	4096	true
99	shotgun	120654	23649	-	4096	true
