# seed=42 mode=shotgun file=roboto_regular.woff2 filesize=177100
trial	mode	filesize	off	bit	span	detected
0	shotgun	177100	35396	-	4096	true
1	shotgun	177100	150869	-	4096	true
2	shotgun	177100	154884	-	4096	true
3	shotgun	177100	122066	-	4096	true
4	shotgun	177100	96575	-	4096	true
5	shotgun	177100	69779	-	4096	true
6	shotgun	177100	35327	-	4096	true
7	shotgun	177100	159925	-	4096	true
8	shotgun	177100	23781	-	4096	true
9	shotgun	177100	163952	-	4096	true
10	shotgun	177100	54273	-	4096	true
11	shotgun	177100	10650	-	4096	true
12	shotgun	177100	16719	-	4096	true
13	shotgun	177100	34724	-	4096	true
14	shotgun	177100	102198	-	4096	true
15	shotgun	177100	166152	-	4096	true
16	shotgun	177100	131481	-	4096	true
17	shotgun	177100	111383	-	4096	true
18	shotgun	177100	39516	-	4096	true
19	shotgun	177100	138027	-	4096	true
20	shotgun	177100	75553	-	4096	true
21	shotgun	177100	81972	-	4096	true
22	shotgun	177100	104625	-	4096	true
23	shotgun	177100	97147	-	4096	true
24	shotgun	177100	160336	-	4096	true
25	shotgun	177100	105646	-	4096	true
26	shotgun	177100	16241	-	4096	true
27	shotgun	177100	107573	-	4096	true
28	shotgun	177100	117486	-	4096	true
29	shotgun	177100	113386	-	4096	true
30	shotgun	177100	84414	-	4096	true
31	shotgun	177100	73976	-	4096	true
32	shotgun	177100	142028	-	4096	true
33	shotgun	177100	142311	-	4096	true
34	shotgun	177100	82698	-	4096	true
35	shotgun	177100	48982	-	4096	true
36	shotgun	177100	60076	-	4096	true
37	shotgun	177100	64435	-	4096	true
38	shotgun	177100	26264	-	4096	true
39	shotgun	177100	35528	-	4096	true
40	shotgun	177100	110531	-	4096	true
41	shotgun	177100	141914	-	4096	true
42	shotgun	177100	32312	-	4096	true
43	shotgun	177100	172428	-	4096	true
44	shotgun	177100	20678	-	4096	true
45	shotgun	177100	39039	-	4096	true
46	shotgun	177100	74553	-	4096	true
47	shotgun	177100	101771	-	4096	true
48	shotgun	177100	85861	-	4096	true
49	shotgun	177100	58652	-	4096	true
50	shotgun	177100	57280	-	4096	true
51	shotgun	177100	137110	-	4096	true
52	shotgun	177100	136546	-	4096	true
53	shotgun	177100	28943	-	4096	true
54	shotgun	177100	100050	-	4096	true
55	shotgun	177100	70175	-	4096	true
56	shotgun	177100	25720	-	4096	true
57	shotgun	177100	87182	-	4096	true
58	shotgun	177100	130332	-	4096	true
59	shotgun	177100	52495	-	4096	true
60	shotgun	177100	21215	-	4096	true
61	shotgun	177100	3025	-	4096	true
62	shotgun	177100	114653	-	4096	true
63	shotgun	177100	71182	-	4096	true
64	shotgun	177100	106431	-	4096	true
65	shotgun	177100	124717	-	4096	true
66	shotgun	177100	142938	-	4096	true
67	shotgun	177100	149632	-	4096	true
68	shotgun	177100	106234	-	4096	true
69	shotgun	177100	101014	-	4096	true
70	shotgun	177100	63304	-	4096	true
71	shotgun	177100	120362	-	4096	true
72	shotgun	177100	140962	-	4096	true
73	shotgun	177100	47802	-	4096	true
74	shotgun	177100	103302	-	4096	true
75	shotgun	177100	19819	-	4096	true
76	shotgun	177100	91578	-	4096	true
77	shotgun	177100	73712	-	4096	true
78	shotgun	177100	32724	-	4096	true
79	shotgun	177100	4215	-	4096	true
80	shotgun	177100	149470	-	4096	true
81	shotgun	177100	134209	-	4096	true
82	shotgun	177100	157683	-	4096	true
83	shotgun	177100	68231	-	4096	true
84	shotgun	177100	97651	-	4096	true
85	shotgun	177100	22823	-	4096	true
86	shotgun	177100	110920	-	4096	true
87	shotgun	177100	26647	-	4096	true
88	shotgun	177100	119143	-	4096	true
89	shotgun	177100	166318	-	4096	true
90	shotgun	177100	15086	-	4096	true
91	shotgun	177100	94629	-	4096	true
92	shotgun	177100	16976	-	4096	true
93	shotgun	177100	75325	-	4096	true
94	shotgun	177100	7614	-	4096	true
95	shotgun	177100	136803	-	4096	true
96	shotgun	177100	80011	-	4096	true
97	shotgun	177100	51303	-	4096	true
98	shotgun	177100	131923	-	4096	true
99	shotgun	177100	147407	-	4096	true
