# seed=42 mode=bolter file=roboto_regular.woff filesize=260180
trial	mode	filesize	off	bit	span	detected
0	bolter	260180	145146	-	1	true
1	bolter	260180	169029	-	1	true
2	bolter	260180	89975	-	1	true
3	bolter	260180	64015	-	1	true
4	bolter	260180	139397	-	1	true
5	bolter	260180	73226	-	1	true
6	bolter	260180	63900	-	1	true
7	bolter	260180	78171	-	1	true
8	bolter	260180	102224	-	1	true
9	bolter	260180	9653	-	1	true
10	bolter	260180	60625	-	1	true
11	bolter	260180	98685	-	1	true
12	bolter	260180	167848	-	1	true
13	bolter	260180	111314	-	1	true
14	bolter	260180	93153	-	1	true
15	bolter	260180	200135	-	1	true
16	bolter	260180	47778	-	1	true
17	bolter	260180	239104	-	1	true
18	bolter	260180	226251	-	1	true
19	bolter	260180	93708	-	1	true
20	bolter	260180	256716	-	1	true
21	bolter	260180	177915	-	1	true
22	bolter	260180	19720	-	1	true
23	bolter	260180	9287	-	1	true
24	bolter	260180	116683	-	1	true
25	bolter	260180	85717	-	1	true
26	bolter	260180	73510	-	1	true
27	bolter	260180	67263	-	1	true
28	bolter	260180	79644	-	1	true
29	bolter	260180	51888	-	1	true
30	bolter	260180	254116	-	1	true
31	bolter	260180	90795	-	1	true
32	bolter	260180	35330	-	1	true
33	bolter	260180	133538	-	1	true
34	bolter	260180	137485	-	1	true
35	bolter	260180	129696	-	1	true
36	bolter	260180	162498	-	1	true
37	bolter	260180	82599	-	1	true
38	bolter	260180	139342	-	1	true
39	bolter	260180	228178	-	1	true
40	bolter	260180	210250	-	1	true
41	bolter	260180	252167	-	1	true
42	bolter	260180	196535	-	1	true
43	bolter	260180	72556	-	1	true
44	bolter	260180	220054	-	1	true
45	bolter	260180	259302	-	1	true
46	bolter	260180	70	-	1	true
47	bolter	260180	122928	-	1	true
48	bolter	260180	175521	-	1	true
49	bolter	260180	145501	-	1	true
50	bolter	260180	48926	-	1	true
51	bolter	260180	54048	-	1	true
52	bolter	260180	61514	-	1	true
53	bolter	260180	163865	-	1	true
54	bolter	260180	203302	-	1	true
55	bolter	260180	188304	-	1	true
56	bolter	260180	39811	-	1	true
57	bolter	260180	211784	-	1	true
58	bolter	260180	93243	-	1	true
59	bolter	260180	57131	-	1	true
60	bolter	260180	258032	-	1	true
61	bolter	260180	199081	-	1	true
62	bolter	260180	113321	-	1	true
63	bolter	260180	102483	-	1	true
64	bolter	260180	111352	-	1	true
65	bolter	260180	192812	-	1	true
66	bolter	260180	121683	-	1	true
67	bolter	260180	214140	-	1	true
68	bolter	260180	40442	-	1	true
69	bolter	260180	148372	-	1	true
70	bolter	260180	240511	-	1	true
71	bolter	260180	227275	-	1	true
72	bolter	260180	205756	-	1	true
73	bolter	260180	75394	-	1	true
74	bolter	260180	2952	-	1	true
75	bolter	260180	132537	-	1	true
76	bolter	260180	121363	-	1	true
77	bolter	260180	111150	-	1	true
78	bolter	260180	247500	-	1	true
79	bolter	260180	129084	-	1	true
80	bolter	260180	117359	-	1	true
81	bolter	260180	43555	-	1	true
82	bolter	260180	246202	-	1	true
83	bolter	260180	86823	-	1	true
84	bolter	260180	241633	-	1	true
85	bolter	260180	70686	-	1	true
86	bolter	260180	222713	-	1	true
87	bolter	260180	204940	-	1	true
88	bolter	260180	133998	-	1	true
89	bolter	260180	232328	-	1	true
90	bolter	260180	92794	-	1	true
91	bolter	260180	112122	-	1	true
92	bolter	260180	5681	-	1	true
93	bolter	260180	127303	-	1	true
94	bolter	260180	17197	-	1	true
95	bolter	260180	26845	-	1	true
96	bolter	260180	231395	-	1	true
97	bolter	260180	117314	-	1	true
98	bolter	260180	15121	-	1	true
99	bolter	260180	187810	-	1	true
