# seed=42 mode=sniper file=poi_formula.xls filesize=178176
trial	mode	filesize	off	bit	span	detected
0	sniper	178176	91094	1	1	true
1	sniper	178176	162459	3	1	false
2	sniper	178176	165549	2	1	false
3	sniper	178176	166188	7	1	false
4	sniper	178176	79880	5	1	false
5	sniper	178176	165337	1	1	false
6	sniper	178176	32220	6	1	false
7	sniper	178176	94289	3	1	true
8	sniper	178176	148186	4	1	false
9	sniper	178176	115235	4	1	false
10	sniper	178176	76872	7	1	false
11	sniper	178176	138960	3	1	false
12	sniper	178176	13187	1	1	false
13	sniper	178176	29610	3	1	false
14	sniper	178176	42772	0	1	false
15	sniper	178176	135408	3	1	false
16	sniper	178176	149686	6	1	true
17	sniper	178176	160501	0	1	false
18	sniper	178176	149658	7	1	false
19	sniper	178176	85718	6	1	false
20	sniper	178176	16802	3	1	false
21	sniper	178176	26607	4	1	true
22	sniper	178176	170734	2	1	false
23	sniper	178176	101690	0	1	false
24	sniper	178176	99993	5	1	true
25	sniper	178176	92310	0	1	true
26	sniper	178176	161570	5	1	false
27	sniper	178176	162274	4	1	true
28	sniper	178176	136143	4	1	false
29	sniper	178176	26095	7	1	false
30	sniper	178176	43080	1	1	false
31	sniper	178176	147569	3	1	false
32	sniper	178176	88192	0	1	true
33	sniper	178176	151963	0	1	true
34	sniper	178176	69034	4	1	false
35	sniper	178176	51743	7	1	false
36	sniper	178176	65940	6	1	false
37	sniper	178176	100436	5	1	false
38	sniper	178176	78587	6	1	false
39	sniper	178176	19392	0	1	true
40	sniper	178176	65019	7	1	false
41	sniper	178176	98366	7	1	false
42	sniper	178176	16081	6	1	false
43	sniper	178176	10845	0	1	false
44	sniper	178176	19250	0	1	false
45	sniper	178176	67166	6	1	false
46	sniper	178176	72393	3	1	false
47	sniper	178176	119985	5	1	false
48	sniper	178176	62567	2	1	true
49	sniper	178176	80237	2	1	false
50	sniper	178176	57433	2	1	true
51	sniper	178176	74837	3	1	false
52	sniper	178176	48824	7	1	true
53	sniper	178176	39430	2	1	true
54	sniper	178176	140548	6	1	false
55	sniper	178176	71967	7	1	false
56	sniper	178176	20027	6	1	false
57	sniper	178176	301	6	1	true
58	sniper	178176	120055	1	1	false
59	sniper	178176	113331	2	1	false
60	sniper	178176	161065	4	1	false
61	sniper	178176	103278	2	1	false
62	sniper	178176	95348	5	1	false
63	sniper	178176	58894	7	1	false
64	sniper	178176	100250	0	1	true
65	sniper	178176	169284	0	1	false
66	sniper	178176	17265	3	1	false
67	sniper	178176	33970	7	1	false
68	sniper	178176	20702	1	1	false
69	sniper	178176	68667	3	1	false
70	sniper	178176	79579	2	1	false
71	sniper	178176	175709	6	1	false
72	sniper	178176	97133	2	1	false
73	sniper	178176	89093	4	1	false
74	sniper	178176	93757	2	1	true
75	sniper	178176	155797	2	1	false
76	sniper	178176	151184	0	1	false
77	sniper	178176	76573	4	1	true
78	sniper	178176	1755	2	1	false
79	sniper	178176	153282	4	1	false
80	sniper	178176	108779	2	1	false
81	sniper	178176	154605	3	1	true
82	sniper	178176	112677	0	1	false
83	sniper	178176	108957	2	1	false
84	sniper	178176	25728	2	1	false
85	sniper	178176	108319	3	1	false
86	sniper	178176	54491	6	1	false
87	sniper	178176	10694	6	1	false
88	sniper	178176	2406	0	1	false
89	sniper	178176	165790	5	1	false
90	sniper	178176	75620	6	1	false
91	sniper	178176	121961	4	1	true
92	sniper	178176	87817	2	1	false
93	sniper	178176	60953	3	1	false
94	sniper	178176	19641	4	1	false
95	sniper	178176	67601	7	1	false
96	sniper	178176	5409	6	1	false
97	sniper	178176	92469	2	1	true
98	sniper	178176	174339	0	1	false
99	sniper	178176	77914	7	1	true
