# seed=42 mode=bolter file=jellyfish_vp9_opus.webm filesize=1805718
trial	mode	filesize	off	bit	span	detected
0	bolter	1805718	712628	-	1	false
1	bolter	1805718	787517	-	1	false
2	bolter	1805718	1551765	-	1	true
3	bolter	1805718	15261	-	1	true
4	bolter	1805718	1262481	-	1	true
5	bolter	1805718	365332	-	1	true
6	bolter	1805718	604926	-	1	true
7	bolter	1805718	1299605	-	1	false
8	bolter	1805718	158948	-	1	true
9	bolter	1805718	1704351	-	1	true
10	bolter	1805718	1287157	-	1	false
11	bolter	1805718	1198381	-	1	false
12	bolter	1805718	44106	-	1	true
13	bolter	1805718	1685116	-	1	true
14	bolter	1805718	628487	-	1	true
15	bolter	1805718	279033	-	1	true
16	bolter	1805718	536362	-	1	true
17	bolter	1805718	1361098	-	1	true
18	bolter	1805718	1478867	-	1	true
19	bolter	1805718	1468780	-	1	true
20	bolter	1805718	1252716	-	1	true
21	bolter	1805718	1069527	-	1	true
22	bolter	1805718	305664	-	1	true
23	bolter	1805718	464065	-	1	true
24	bolter	1805718	1579067	-	1	true
25	bolter	1805718	1104981	-	1	true
26	bolter	1805718	1141404	-	1	true
27	bolter	1805718	94685	-	1	true
28	bolter	1805718	1076956	-	1	false
29	bolter	1805718	536660	-	1	true
30	bolter	1805718	602352	-	1	true
31	bolter	1805718	1522565	-	1	true
32	bolter	1805718	39736	-	1	true
33	bolter	1805718	962734	-	1	true
34	bolter	1805718	330895	-	1	true
35	bolter	1805718	1702186	-	1	true
36	bolter	1805718	1186860	-	1	true
37	bolter	1805718	357629	-	1	false
38	bolter	1805718	275780	-	1	false
39	bolter	1805718	512092	-	1	true
40	bolter	1805718	1633730	-	1	true
41	bolter	1805718	981231	-	1	true
42	bolter	1805718	286941	-	1	false
43	bolter	1805718	1603988	-	1	false
44	bolter	1805718	1094440	-	1	true
45	bolter	1805718	426008	-	1	false
46	bolter	1805718	1734266	-	1	true
47	bolter	1805718	648758	-	1	false
48	bolter	1805718	296319	-	1	false
49	bolter	1805718	407241	-	1	true
50	bolter	1805718	148836	-	1	true
51	bolter	1805718	542162	-	1	true
52	bolter	1805718	1691420	-	1	true
53	bolter	1805718	983335	-	1	false
54	bolter	1805718	799714	-	1	true
55	bolter	1805718	1331656	-	1	true
56	bolter	1805718	475359	-	1	false
57	bolter	1805718	837400	-	1	false
58	bolter	1805718	1005025	-	1	true
59	bolter	1805718	1393867	-	1	true
60	bolter	1805718	1239678	-	1	true
61	bolter	1805718	682665	-	1	false
62	bolter	1805718	1352177	-	1	false
63	bolter	1805718	1308597	-	1	false
64	bolter	1805718	1024198	-	1	true
65	bolter	1805718	1498464	-	1	true
66	bolter	1805718	1650517	-	1	true
67	bolter	1805718	1755174	-	1	true
68	bolter	1805718	1485502	-	1	true
69	bolter	1805718	215540	-	1	true
70	bolter	1805718	1618181	-	1	true
71	bolter	1805718	635055	-	1	true
72	bolter	1805718	408174	-	1	false
73	bolter	1805718	1258616	-	1	false
74	bolter	1805718	610304	-	1	true
75	bolter	1805718	561923	-	1	false
76	bolter	1805718	1365911	-	1	true
77	bolter	1805718	937624	-	1	true
78	bolter	1805718	499638	-	1	true
79	bolter	1805718	1554320	-	1	true
80	bolter	1805718	1126179	-	1	true
81	bolter	1805718	870153	-	1	true
82	bolter	1805718	1043126	-	1	false
83	bolter	1805718	1575787	-	1	true
84	bolter	1805718	74137	-	1	true
85	bolter	1805718	254122	-	1	false
86	bolter	1805718	1781319	-	1	true
87	bolter	1805718	660906	-	1	false
88	bolter	1805718	1276880	-	1	true
89	bolter	1805718	1027718	-	1	false
90	bolter	1805718	688514	-	1	true
91	bolter	1805718	1492044	-	1	false
92	bolter	1805718	609567	-	1	true
93	bolter	1805718	1419443	-	1	false
94	bolter	1805718	1559667	-	1	false
95	bolter	1805718	48203	-	1	false
96	bolter	1805718	140891	-	1	true
97	bolter	1805718	337278	-	1	false
98	bolter	1805718	1241777	-	1	true
99	bolter	1805718	1069572	-	1	true
100	bolter	1805718	251785	-	1	true
101	bolter	1805718	771800	-	1	false
102	bolter	1805718	1599881	-	1	true
103	bolter	1805718	1502135	-	1	true
104	bolter	1805718	1203170	-	1	true
105	bolter	1805718	591983	-	1	true
106	bolter	1805718	308302	-	1	true
107	bolter	1805718	106918	-	1	true
108	bolter	1805718	878296	-	1	false
109	bolter	1805718	199862	-	1	false
110	bolter	1805718	853155	-	1	false
111	bolter	1805718	1626753	-	1	false
112	bolter	1805718	792017	-	1	true
113	bolter	1805718	1679408	-	1	false
114	bolter	1805718	1267915	-	1	true
115	bolter	1805718	932152	-	1	true
116	bolter	1805718	690469	-	1	true
117	bolter	1805718	16013	-	1	true
118	bolter	1805718	865197	-	1	false
119	bolter	1805718	1695288	-	1	true
120	bolter	1805718	1194391	-	1	true
