# seed=42 mode=sniper file=jellyfish_vp9_opus.webm filesize=1805718
trial	mode	filesize	off	bit	span	detected
0	sniper	1805718	712628	1	1	true
1	sniper	1805718	1551765	3	1	true
2	sniper	1805718	1262481	2	1	true
3	sniper	1805718	604926	7	1	true
4	sniper	1805718	158948	5	1	true
5	sniper	1805718	1287157	1	1	false
6	sniper	1805718	44106	6	1	true
7	sniper	1805718	628487	3	1	true
8	sniper	1805718	536362	4	1	true
9	sniper	1805718	1478867	4	1	true
10	sniper	1805718	1252716	7	1	true
11	sniper	1805718	305664	3	1	true
12	sniper	1805718	1579067	1	1	true
13	sniper	1805718	1141404	3	1	true
14	sniper	1805718	1076956	0	1	false
15	sniper	1805718	602352	3	1	false
16	sniper	1805718	39736	6	1	true
17	sniper	1805718	330895	0	1	true
18	sniper	1805718	1186860	7	1	true
19	sniper	1805718	275780	6	1	false
20	sniper	1805718	1633730	3	1	true
21	sniper	1805718	286941	4	1	true
22	sniper	1805718	1094440	2	1	true
23	sniper	1805718	1734266	0	1	false
24	sniper	1805718	296319	5	1	false
25	sniper	1805718	148836	0	1	true
26	sniper	1805718	1691420	5	1	true
27	sniper	1805718	799714	4	1	true
28	sniper	1805718	475359	4	1	false
29	sniper	1805718	1005025	7	1	true
30	sniper	1805718	1239678	1	1	true
31	sniper	1805718	1352177	3	1	false
32	sniper	1805718	1024198	0	1	false
33	sniper	1805718	1650517	0	1	true
34	sniper	1805718	1485502	4	1	true
35	sniper	1805718	1618181	7	1	true
36	sniper	1805718	408174	6	1	false
37	sniper	1805718	610304	5	1	true
38	sniper	1805718	1365911	6	1	true
39	sniper	1805718	499638	0	1	true
40	sniper	1805718	1126179	7	1	true
41	sniper	1805718	1043126	7	1	false
42	sniper	1805718	74137	6	1	true
43	sniper	1805718	1781319	0	1	true
44	sniper	1805718	1276880	0	1	true
45	sniper	1805718	688514	6	1	true
46	sniper	1805718	609567	3	1	true
47	sniper	1805718	1559667	5	1	false
48	sniper	1805718	140891	2	1	true
49	sniper	1805718	1241777	2	1	true
50	sniper	1805718	251785	2	1	false
51	sniper	1805718	1599881	3	1	true
52	sniper	1805718	1203170	7	1	true
53	sniper	1805718	308302	2	1	true
54	sniper	1805718	878296	6	1	false
55	sniper	1805718	853155	7	1	false
56	sniper	1805718	792017	6	1	true
57	sniper	1805718	1267915	6	1	true
58	sniper	1805718	690469	1	1	false
59	sniper	1805718	865197	2	1	false
60	sniper	1805718	1194391	4	1	false
61	sniper	1805718	811962	2	1	false
62	sniper	1805718	1439828	5	1	true
63	sniper	1805718	1654468	7	1	true
64	sniper	1805718	421244	0	1	true
65	sniper	1805718	1502178	0	1	true
66	sniper	1805718	364677	3	1	false
67	sniper	1805718	75964	7	1	false
68	sniper	1805718	814190	1	1	true
69	sniper	1805718	430125	3	1	true
70	sniper	1805718	684679	2	1	false
71	sniper	1805718	1010663	6	1	true
72	sniper	1805718	1680563	2	1	true
73	sniper	1805718	158363	4	1	true
74	sniper	1805718	501271	2	1	false
75	sniper	1805718	402499	2	1	false
76	sniper	1805718	1348568	0	1	true
77	sniper	1805718	1441621	4	1	true
78	sniper	1805718	37041	2	1	false
79	sniper	1805718	1202484	4	1	true
80	sniper	1805718	1588367	2	1	true
81	sniper	1805718	1204137	3	1	true
82	sniper	1805718	1004457	0	1	true
83	sniper	1805718	197193	2	1	true
84	sniper	1805718	355890	2	1	true
85	sniper	1805718	1182409	3	1	true
86	sniper	1805718	627065	6	1	true
87	sniper	1805718	937088	6	1	true
88	sniper	1805718	1719486	0	1	false
89	sniper	1805718	1543324	5	1	false
90	sniper	1805718	1373228	6	1	true
91	sniper	1805718	1597373	4	1	true
92	sniper	1805718	949003	2	1	false
93	sniper	1805718	22991	3	1	true
94	sniper	1805718	59961	4	1	true
95	sniper	1805718	924725	7	1	true
96	sniper	1805718	511359	6	1	false
97	sniper	1805718	1089021	2	1	false
98	sniper	1805718	216633	0	1	true
99	sniper	1805718	911566	7	1	true
100	sniper	1805718	1416480	0	1	true
101	sniper	1805718	167978	2	1	true
102	sniper	1805718	694014	1	1	true
103	sniper	1805718	834492	5	1	true
104	sniper	1805718	1321407	2	1	true
105	sniper	1805718	721423	1	1	true
106	sniper	1805718	1620692	0	1	true
107	sniper	1805718	606805	1	1	true
108	sniper	1805718	468783	1	1	true
109	sniper	1805718	1079485	6	1	true
110	sniper	1805718	1213036	0	1	false
111	sniper	1805718	448035	0	1	true
112	sniper	1805718	549550	5	1	false
113	sniper	1805718	4566	4	1	false
114	sniper	1805718	382142	0	1	false
115	sniper	1805718	1317856	6	1	true
116	sniper	1805718	1301014	7	1	false
117	sniper	1805718	1370572	1	1	true
118	sniper	1805718	989027	4	1	true
119	sniper	1805718	1649668	6	1	false
120	sniper	1805718	1113119	1	1	false
121	sniper	1805718	262465	5	1	true
122	sniper	1805718	540051	6	1	true
123	sniper	1805718	743950	3	1	true
124	sniper	1805718	88970	7	1	false
125	sniper	1805718	793750	6	1	true
126	sniper	1805718	115938	2	1	true
127	sniper	1805718	930583	1	1	true
128	sniper	1805718	1690018	0	1	true
129	sniper	1805718	362478	5	1	true
130	sniper	1805718	716477	3	1	false
131	sniper	1805718	661982	0	1	true
132	sniper	1805718	1431488	0	1	true
133	sniper	1805718	168346	4	1	true
134	sniper	1805718	1701187	4	1	true
135	sniper	1805718	883761	6	1	true
136	sniper	1805718	360356	4	1	true
137	sniper	1805718	468275	3	1	true
138	sniper	1805718	1654688	2	1	true
139	sniper	1805718	1751209	1	1	true
140	sniper	1805718	1433660	5	1	true
141	sniper	1805718	343533	0	1	false
142	sniper	1805718	147993	0	1	true
143	sniper	1805718	870132	3	1	true
144	sniper	1805718	1599383	7	1	true
145	sniper	1805718	1077223	2	1	true
146	sniper	1805718	1111968	2	1	false
147	sniper	1805718	1469393	6	1	true
